ax,ay,az,gx,gy,gz,mav,rms
8.25,-5.46,-2.94,-0.08,0.03,0.03,86.64,111.71
8.26,-5.47,-3.01,-0.06,0.06,0.05,69.59,90.59
8.33,-5.47,-3.05,-0.07,0.03,0.02,68.96,92.05
8.3,-5.49,-3.01,-0.06,0.04,0.03,68.96,92.05
8.21,-5.62,-2.94,-0.05,0.01,0.04,92.34,131.61
8.18,-5.57,-2.95,-0.05,0.04,0.02,92.34,131.61
8.09,-5.47,-2.92,-0.07,0.04,0.01,162.12,206.29
8.33,-5.54,-2.93,-0.06,0.08,0.01,218.79,284.6
8.36,-5.65,-3.0,-0.06,0.2,-0.0,242.89,308.15
8.41,-5.44,-2.84,-0.17,0.4,-0.15,291.04,411.74
8.96,-5.2,-2.25,-0.22,0.27,-0.42,475.78,662.27
9.01,-4.69,-2.2,-0.14,0.12,-0.58,454.9,557.56
9.6,-3.98,-2.29,-0.11,0.2,-0.63,429.58,579.69
10.11,-3.4,-2.13,-0.16,0.09,-0.74,601.57,820.25
10.28,-2.79,-2.3,-0.19,0.05,-0.94,787.43,1112.71
10.02,-1.93,-2.28,-0.2,0.18,-1.02,760.79,1002.48
9.92,-0.91,-1.87,-0.12,0.28,-0.88,788.36,1006.71
9.77,-0.33,-1.41,-0.07,0.14,-0.85,788.36,1006.71
9.74,0.58,-1.5,-0.09,0.08,-0.75,602.46,711.98
10.01,1.66,-1.98,-0.13,0.14,-0.68,595.51,751.12
9.88,2.31,-2.07,-0.05,0.1,-0.69,605.04,754.43
10.07,2.8,-1.49,-0.01,0.12,-0.81,910.46,1242.34
9.76,2.86,-1.24,-0.05,0.19,-0.82,742.22,954.39
8.74,4.61,-1.37,-0.16,0.06,-1.03,1092.68,1410.76
8.19,5.3,-0.6,-0.25,0.05,-1.02,1091.58,1351.04
7.13,6.55,-0.98,-0.24,0.02,-0.87,920.5,1119.43
5.91,7.56,-1.5,-0.3,0.17,-0.49,904.01,1099.59
6.09,6.91,0.28,-0.19,0.04,-0.48,1307.17,1546.27
5.8,7.66,-0.28,-0.24,0.17,-0.42,798.53,998.9
6.59,7.88,-0.09,-0.16,-0.2,-0.53,1275.58,1538.92
5.68,8.0,-0.44,-0.25,0.16,-0.42,837.87,1016.68
4.25,8.44,0.48,-0.15,0.13,-0.43,1130.61,1371.88
3.89,8.64,-0.3,-0.11,0.33,-0.33,1103.68,1302.99
4.03,9.05,0.02,-0.02,-0.05,-0.11,810.98,985.26
4.38,8.81,0.28,-0.04,-0.03,-0.03,875.93,986.96
3.67,9.13,-0.19,-0.03,0.17,0.03,713.26,907.18
4.28,8.91,-0.11,-0.03,0.02,0.08,673.1,760.76
4.05,8.97,-0.2,-0.1,0.03,0.11,516.82,565.73
4.25,8.63,0.19,-0.09,-0.01,0.33,413.4,487.57
4.47,8.93,-0.51,-0.05,0.15,0.51,481.2,588.46
4.63,8.25,0.31,-0.04,0.08,0.63,427.58,550.77
4.68,8.06,-0.19,-0.04,0.08,0.7,427.58,550.77
5.9,6.99,-0.07,-0.01,-0.17,0.93,374.48,443.64
6.91,6.4,0.3,0.1,-0.39,0.86,550.28,818.43
7.77,6.11,-0.74,0.11,-0.27,0.9,458.68,624.7
9.11,5.21,-1.6,0.1,-0.18,0.86,644.83,1011.31
8.52,4.77,-1.41,0.14,-0.03,0.86,547.48,710.91
8.55,3.52,-0.84,0.18,-0.26,1.06,530.29,695.96
9.3,3.0,-2.1,0.2,-0.31,1.13,507.26,606.23
10.16,2.17,-2.47,0.12,-0.04,1.09,431.83,510.29
10.24,0.56,-2.28,0.06,-0.16,1.02,333.52,419.4
10.05,-0.17,-2.79,-0.01,-0.21,1.02,630.27,857.35
9.82,-1.4,-3.12,-0.07,-0.09,1.03,369.33,446.1
10.12,-2.51,-3.16,-0.1,0.05,0.93,512.36,621.16
10.09,-3.15,-2.78,-0.11,-0.0,0.8,339.2,415.9
10.18,-3.66,-2.68,-0.1,-0.32,0.45,426.62,612.36
8.85,-3.53,-3.11,0.01,0.16,0.29,369.69,454.45
8.5,-4.02,-3.24,0.09,0.26,0.41,295.48,351.63
9.18,-4.47,-2.93,-0.03,-0.2,0.54,269.14,345.22
9.39,-4.98,-3.34,-0.15,-0.07,0.26,216.36,250.29
8.59,-4.96,-3.32,-0.16,0.15,0.02,197.93,216.21
8.22,-4.71,-3.14,-0.05,0.07,0.06,176.35,229.97
