ax,ay,az,gx,gy,gz,mav,rms
8.41,-5.45,-2.57,-0.07,0.03,0.05,63.1,81.62
8.35,-5.48,-2.52,-0.06,0.04,0.03,81.5,119.47
8.36,-5.53,-2.55,-0.08,0.02,0.01,81.65,109.97
8.37,-5.49,-2.62,-0.07,0.04,0.02,107.0,144.15
8.39,-5.47,-2.56,-0.05,0.03,0.04,90.91,145.95
8.27,-5.51,-2.65,-0.07,0.03,0.03,65.09,78.08
8.36,-5.41,-2.64,-0.07,0.05,0.05,95.81,146.62
8.33,-5.5,-2.65,-0.08,0.05,0.04,116.97,168.39
8.25,-5.7,-2.69,-0.04,0.09,0.01,133.9,177.01
8.41,-5.4,-2.57,-0.02,0.06,-0.03,184.67,285.66
8.43,-5.42,-2.53,-0.07,0.08,-0.03,180.84,238.46
8.75,-5.37,-2.58,-0.16,0.26,-0.02,157.79,184.78
9.1,-5.27,-2.52,-0.22,0.33,-0.14,306.21,439.63
9.07,-5.12,-1.93,-0.18,0.09,-0.41,311.38,417.8
9.27,-4.78,-2.12,-0.1,-0.02,-0.58,346.05,474.91
9.32,-4.02,-2.14,-0.03,0.07,-0.56,386.49,517.46
9.73,-3.43,-2.45,-0.05,-0.06,-0.53,438.83,588.08
10.0,-2.98,-2.36,-0.12,0.08,-0.67,501.63,668.08
9.44,-2.27,-2.25,-0.12,0.28,-0.68,469.42,547.34
9.73,-1.5,-2.05,-0.1,0.02,-0.59,510.75,634.73
10.06,-1.19,-1.87,-0.11,-0.02,-0.54,582.31,742.36
9.95,-0.34,-1.82,-0.07,0.31,-0.53,611.52,899.55
10.18,-0.09,-1.54,-0.05,0.11,-0.59,837.18,1074.34
10.13,0.67,-1.59,-0.13,0.14,-0.58,714.07,909.9
10.06,1.26,-1.33,-0.07,0.06,-0.57,664.03,805.91
10.04,1.93,-1.75,-0.02,0.05,-0.57,521.86,606.4
10.03,2.44,-1.58,-0.05,0.13,-0.66,660.68,867.76
9.53,3.06,-1.68,-0.09,0.18,-0.7,1181.43,1508.41
9.45,3.3,-1.67,-0.11,0.09,-0.72,767.68,954.38
8.94,4.53,-1.64,-0.23,0.12,-0.65,719.9,828.2
8.9,4.75,-0.74,-0.27,-0.0,-0.63,761.56,975.27
8.62,5.69,-1.0,-0.33,0.15,-0.8,735.29,983.08
7.43,6.2,-0.46,-0.29,0.09,-0.75,980.63,1210.47
6.42,6.89,-0.49,-0.33,0.06,-0.55,970.89,1189.97
6.04,7.25,-0.44,-0.22,0.18,-0.62,855.85,1062.02
5.5,7.1,0.31,-0.23,0.2,-0.48,966.26,1205.31
7.33,8.56,-1.22,0.01,-0.03,-0.57,800.2,894.44
6.05,7.82,-0.86,-0.16,0.24,-0.42,1217.37,1548.52
5.02,8.57,-0.6,-0.08,0.09,-0.14,1235.83,1498.49
4.8,8.74,-0.33,-0.18,0.02,-0.18,883.59,1099.52
5.33,8.69,-0.71,-0.1,0.16,-0.12,1041.86,1269.42
4.47,8.84,0.03,-0.15,0.05,-0.02,862.15,1002.98
4.63,8.68,0.0,-0.15,0.09,-0.0,841.41,1074.24
4.09,8.77,0.43,-0.09,0.1,0.14,632.98,711.36
4.56,7.79,0.86,-0.03,-0.02,0.47,715.96,1016.9
5.73,7.74,0.25,0.14,0.01,0.55,892.37,1216.54
5.37,7.97,0.06,0.08,0.21,0.55,694.69,808.76
6.33,7.06,0.06,0.11,-0.11,0.73,647.51,771.44
7.11,7.58,-1.17,0.16,-0.16,0.78,530.42,703.78
7.76,6.63,-1.06,0.16,-0.14,0.78,613.47,741.32
7.71,5.81,-0.88,0.12,0.04,0.72,499.6,578.92
8.15,5.39,-0.71,0.12,-0.2,0.73,643.2,839.91
8.72,5.23,-1.76,0.11,-0.13,0.73,422.79,524.79
9.09,4.45,-1.9,0.1,-0.04,0.74,639.03,876.41
8.89,3.55,-1.74,0.06,-0.03,0.79,521.06,708.16
9.76,2.77,-1.85,0.07,-0.16,0.81,587.64,902.93
9.78,2.03,-1.95,0.01,0.02,0.81,705.15,995.57
10.0,0.93,-1.98,0.06,-0.14,0.8,723.48,1008.86
10.43,0.77,-2.45,0.04,-0.02,0.74,492.61,560.81
10.01,-0.16,-2.24,-0.05,0.13,0.68,474.31,568.18
10.17,-0.26,-2.43,-0.02,-0.0,0.7,459.05,628.86
9.8,-1.41,-2.36,-0.06,-0.02,0.68,359.54,430.48
9.64,-2.01,-2.27,-0.08,0.11,0.74,457.03,574.51
9.81,-3.03,-2.35,0.03,-0.06,0.75,425.52,552.99
9.75,-3.76,-2.33,-0.02,-0.08,0.67,403.39,493.12
9.56,-4.17,-2.84,-0.09,-0.22,0.52,299.9,331.47
9.33,-4.41,-2.83,-0.15,-0.11,0.4,244.9,278.14
9.51,-4.9,-2.96,-0.14,-0.18,0.13,249.86,322.41
8.54,-4.65,-2.94,-0.0,0.25,-0.03,211.31,234.87
8.71,-4.4,-2.81,0.06,-0.07,0.08,176.5,210.01
