ax,ay,az,gx,gy,gz,mav,rms
9.65,1.94,0.6,-0.08,0.04,-0.04,332.84,450.58
9.75,2.0,1.07,-0.1,0.07,0.09,265.46,396.85
10.01,1.96,1.2,-0.11,0.07,0.1,249.9,313.52
9.92,1.81,1.1,-0.07,0.08,0.01,282.28,361.89
9.84,1.87,1.07,0.02,0.03,0.06,414.23,604.88
10.41,1.87,1.02,-0.02,0.01,0.08,414.23,604.88
10.38,1.98,0.74,-0.06,-0.16,-0.13,626.69,891.08
9.14,1.92,0.02,-0.07,-0.06,-0.1,589.59,744.76
8.79,1.78,0.23,-0.02,-0.0,0.36,470.01,585.94
10.26,1.4,0.37,-0.03,0.08,0.33,434.44,668.21
10.53,1.45,0.82,-0.04,0.17,0.04,379.37,519.56
9.98,1.55,0.45,-0.06,-0.0,-0.09,327.21,374.89
9.84,1.71,0.34,-0.1,0.01,0.01,311.72,411.7
12.32,1.3,0.73,-0.07,-0.01,-0.19,455.33,759.95
11.76,2.27,0.12,-0.2,-0.17,-1.28,675.78,961.58
9.64,3.65,0.44,-0.34,0.11,-1.41,519.48,667.01
8.5,5.32,0.57,-0.51,-0.26,-1.4,465.65,554.34
7.72,6.09,0.85,-0.61,-0.57,-1.24,550.34,821.58
8.11,6.91,0.62,-0.66,-0.2,-1.4,582.68,802.05
6.01,7.31,-0.15,-0.7,-0.04,-1.49,623.84,878.95
5.7,7.62,1.76,-0.67,-0.37,-1.53,616.8,745.08
3.44,8.88,1.64,-0.68,-0.73,-1.8,597.1,740.22
1.63,7.19,1.71,-0.77,-0.55,-1.77,690.92,937.93
1.15,7.98,1.24,-0.58,-0.13,-1.35,600.88,695.53
0.57,8.46,2.65,-0.42,-0.01,-1.24,563.26,636.39
-1.7,8.39,3.24,-0.23,0.19,-0.93,502.55,566.95
-3.84,8.61,3.38,-0.04,0.46,-0.27,383.05,457.88
-3.64,8.65,2.87,-0.05,0.34,-0.11,346.26,381.2
-3.48,8.37,2.82,0.01,0.24,0.21,277.14,307.7
-2.77,8.81,2.56,0.0,0.15,0.34,217.56,236.83
-2.45,8.88,2.48,0.04,0.26,0.49,167.47,181.69
-2.34,8.84,2.53,0.11,0.47,0.67,123.72,131.88
-1.53,8.97,2.1,0.11,0.38,1.09,136.41,180.41
-0.24,9.51,2.21,0.13,0.3,1.21,150.17,215.22
1.29,9.03,2.11,0.07,0.03,1.18,110.92,141.32
2.19,9.28,1.68,0.04,-0.13,1.11,236.83,414.53
3.02,8.88,0.93,0.05,-0.02,1.03,328.16,489.57
4.51,8.77,0.77,0.15,0.22,0.89,315.64,423.0
5.01,8.44,1.94,0.09,0.11,0.82,372.95,501.79
5.03,7.75,1.58,0.05,0.16,0.83,338.69,428.18
5.76,7.48,1.17,0.15,0.27,0.91,395.43,613.32
6.85,6.98,1.29,0.08,0.36,1.13,331.76,395.81
8.05,6.63,2.53,0.14,0.1,1.16,462.58,595.06
7.87,5.13,0.85,0.09,0.05,1.1,568.74,872.94
9.12,4.53,2.04,0.23,-0.07,1.04,568.74,872.94
9.67,3.84,1.81,0.23,0.09,0.96,434.59,520.96
10.13,2.65,1.01,-0.01,0.04,0.77,422.81,570.35
10.05,2.06,0.51,0.04,-0.03,0.35,425.69,505.17
9.91,1.86,0.41,0.13,0.05,0.14,425.46,613.16
9.72,2.24,1.02,0.14,0.01,0.13,425.46,613.16
10.01,2.4,0.3,0.03,-0.28,0.06,285.57,335.64
9.89,2.35,0.22,-0.04,0.06,0.06,205.31,243.43
