ax,ay,az,gx,gy,gz,mav,rms
9.78,-2.13,-2.49,0.08,0.01,0.01,23.81,27.72
9.83,-2.17,-2.66,0.07,0.04,0.01,34.62,59.84
9.67,-2.21,-2.53,0.1,0.05,0.03,34.62,59.84
9.77,-2.26,-2.27,0.1,-0.0,-0.03,66.79,113.72
9.72,-2.24,-2.42,0.11,0.03,-0.04,240.75,487.58
9.71,-2.11,-2.36,0.1,0.05,-0.04,185.59,279.36
9.73,-2.09,-2.42,0.05,0.02,-0.03,141.25,167.12
9.77,-2.28,-2.24,0.11,0.09,0.01,92.56,97.79
9.66,-2.21,-2.25,0.19,0.03,-0.06,81.87,119.77
9.79,-1.72,-2.07,-0.0,-0.01,-0.01,49.5,52.38
10.1,-2.04,-2.66,-0.1,0.08,0.09,98.52,184.31
10.33,-2.22,-1.98,-0.11,0.02,-0.07,449.56,709.7
10.4,-2.31,-2.07,0.03,-0.09,-0.3,714.54,974.04
10.59,-1.7,-2.21,-0.03,-0.09,-0.69,1243.32,1448.93
10.53,-0.12,-2.33,-0.43,-0.44,-1.26,1190.97,1290.49
9.66,1.4,-3.26,-0.45,-0.19,-1.29,920.33,1015.95
9.13,2.31,-3.08,-0.38,0.2,-1.11,1019.57,1103.7
8.57,3.0,-2.65,-0.26,0.22,-0.93,952.42,1044.42
8.66,3.81,-2.49,-0.27,0.17,-0.96,960.08,1008.47
9.18,4.92,-2.69,-0.29,0.16,-0.95,863.99,969.15
8.48,6.28,-2.34,-0.5,-0.16,-1.28,853.37,973.31
7.15,7.08,-1.85,-0.57,-0.04,-1.38,939.47,1050.44
7.38,7.5,-2.12,-0.63,-0.3,-1.45,865.33,963.88
5.69,8.14,-2.58,-0.61,-0.17,-1.6,956.56,1078.7
1.38,7.89,-0.34,-0.62,-0.46,-1.58,894.31,1014.17
1.33,8.32,-0.54,-0.74,-0.45,-1.53,947.32,1068.04
-0.68,9.65,0.31,-0.79,-0.51,-1.61,1077.57,1146.52
-3.23,8.12,1.46,-0.8,-0.82,-1.65,750.62,828.29
-3.51,8.2,1.79,-0.51,-0.82,-1.44,667.67,780.61
-5.37,7.46,2.25,-0.39,0.3,-0.94,486.25,571.67
-6.63,7.91,3.11,-0.23,0.13,-0.65,365.33,427.62
-6.56,7.28,2.44,-0.14,-0.12,-0.18,293.6,328.67
-6.49,7.46,2.83,-0.08,-0.06,0.11,286.5,329.44
-6.3,7.24,2.6,-0.04,0.16,0.24,286.5,329.44
-5.36,7.39,2.0,0.06,0.57,0.58,218.36,275.3
-5.37,7.84,2.55,0.13,0.52,0.64,218.36,275.3
-4.57,7.97,1.73,0.21,0.18,0.89,195.81,236.83
-3.52,8.09,1.06,0.1,-0.07,0.79,176.66,204.45
-3.18,8.41,1.58,0.22,0.04,0.74,156.11,188.43
-2.35,9.25,0.71,0.25,0.44,0.9,122.84,155.51
-1.47,9.35,0.48,0.24,0.48,1.04,133.44,179.98
-0.62,9.04,0.45,0.22,0.18,1.2,258.8,388.3
0.43,9.41,-0.1,0.35,-0.22,1.36,258.8,388.3
3.14,9.4,-0.39,0.26,-0.41,1.37,804.19,1169.52
4.35,8.44,-1.15,0.21,-0.37,1.13,649.58,883.89
5.31,7.79,-1.58,0.46,-0.06,1.07,548.82,732.85
6.55,7.75,-2.05,0.44,0.81,1.04,755.99,993.0
6.77,7.53,-2.02,0.43,0.95,1.11,755.99,993.0
7.75,5.83,-0.94,0.43,0.05,1.5,733.72,907.98
8.23,4.29,-1.59,0.49,-0.09,1.75,884.86,1073.47
9.35,3.3,-2.18,0.53,-0.08,1.87,827.56,966.68
10.38,-0.1,-2.39,0.5,0.36,1.68,940.75,1053.0
11.29,-1.52,-2.3,0.54,0.35,1.01,862.04,994.78
11.31,-1.38,-1.44,0.49,0.02,0.76,796.53,905.0
10.54,-1.64,-2.42,0.42,-0.48,0.51,699.63,715.74
10.88,-2.11,-3.92,-0.08,-0.2,0.18,424.16,445.34
9.7,-2.05,-2.88,-0.23,0.18,0.06,424.16,445.34
10.24,-2.1,-2.65,-0.21,0.19,0.0,179.92,187.53
9.82,-1.72,-1.79,-0.06,0.04,-0.05,140.48,165.54
9.88,-1.76,-1.89,-0.07,0.11,-0.02,101.25,107.28
9.99,-1.84,-2.16,-0.09,0.09,0.06,295.92,567.02
9.94,-1.97,-2.46,-0.1,-0.0,0.01,150.73,187.28
9.93,-1.84,-2.46,-0.1,0.12,0.03,136.65,192.78
