ax,ay,az,gx,gy,gz,mav,rms
9.84,-1.88,-1.53,-0.06,0.06,0.01,13.91,23.59
10.01,-1.89,-1.38,-0.05,0.04,0.02,12.69,22.83
10.02,-1.88,-1.64,-0.07,0.05,0.01,11.45,22.93
9.95,-1.9,-1.61,-0.09,0.02,0.05,12.65,22.35
9.98,-1.9,-1.54,-0.1,0.02,0.05,7.38,9.93
9.94,-1.96,-1.71,-0.06,0.05,0.03,17.88,35.63
9.99,-1.94,-1.58,-0.07,0.02,0.03,9.31,20.51
9.96,-2.01,-1.71,-0.07,0.05,0.03,19.2,40.21
9.97,-2.01,-1.68,-0.07,0.09,0.03,16.4,27.33
9.93,-1.98,-1.59,-0.08,0.04,0.02,22.35,46.03
9.95,-1.92,-1.45,-0.08,0.05,0.0,99.94,188.9
9.96,-1.96,-1.51,-0.07,0.04,0.0,175.21,282.69
10.05,-2.04,-1.31,-0.08,0.04,-0.05,356.38,534.67
10.04,-1.92,-1.69,-0.09,-0.02,-0.11,457.45,628.09
10.52,-1.67,-1.87,-0.02,-0.25,-0.19,1122.99,1376.1
11.26,-0.99,-2.44,-0.27,-0.28,-0.48,989.61,1152.85
10.74,-0.67,-2.8,-0.43,0.01,-0.97,1190.77,1268.05
10.14,0.22,-2.69,-0.42,0.1,-1.15,1015.79,1105.51
9.35,1.12,-2.35,-0.34,0.07,-1.04,980.79,1071.55
10.11,2.72,-2.77,-0.32,-0.06,-0.91,939.68,1018.41
9.12,3.73,-2.58,-0.63,-0.03,-1.15,947.87,1007.59
8.3,5.19,-1.99,-0.43,-0.33,-0.97,944.7,1076.05
7.53,5.72,-2.1,-0.44,-0.21,-0.86,956.93,1049.64
7.78,6.47,-2.48,-0.59,0.13,-0.9,1037.35,1163.69
6.91,7.36,-1.76,-0.62,-0.25,-1.21,1037.35,1163.69
5.44,7.9,-1.73,-0.54,-0.35,-1.15,998.56,1071.75
3.96,8.23,-0.92,-0.71,-0.22,-1.08,947.52,1039.67
2.9,8.66,-0.61,-0.88,-0.45,-1.11,933.6,1023.58
2.48,8.87,-0.25,-0.7,-0.35,-0.92,933.6,1023.58
1.08,9.01,0.63,-0.8,-0.08,-0.92,879.92,977.77
0.48,9.06,1.62,-0.88,0.06,-1.04,757.89,809.32
-1.15,8.8,2.11,-0.58,-0.13,-0.97,561.08,654.5
-1.63,9.3,2.66,-0.47,0.02,-0.84,475.25,534.23
-2.14,8.36,2.97,-0.4,0.24,-0.79,324.45,361.07
-3.71,8.66,3.25,-0.27,0.0,-0.73,249.41,285.84
-4.07,8.18,3.13,-0.22,0.06,-0.58,274.56,390.72
-4.29,7.19,2.46,-0.12,0.24,-0.4,288.82,382.33
-4.82,7.45,2.82,-0.08,0.34,-0.29,274.6,343.32
-5.43,7.71,2.89,0.03,0.26,0.11,238.63,302.26
-5.69,7.93,3.29,0.01,0.11,0.15,238.63,302.26
-4.91,7.78,2.59,0.09,0.22,0.47,207.09,263.75
-3.93,8.48,2.38,0.1,0.2,0.59,198.69,259.43
-4.02,8.37,2.33,0.05,0.26,0.57,168.13,195.59
-3.22,8.85,2.11,0.04,0.19,0.71,137.67,161.85
-2.71,8.73,1.8,0.03,0.18,0.79,142.21,198.84
-2.46,9.08,1.2,0.09,0.08,0.77,136.98,181.99
-1.37,9.01,1.49,0.09,0.09,0.77,162.28,220.39
-0.96,9.21,1.49,-0.03,0.03,0.85,159.05,222.45
0.64,9.54,1.58,0.17,-0.05,0.96,250.57,383.61
0.59,9.09,1.06,-0.04,0.22,1.03,255.32,360.89
1.59,9.14,1.26,0.32,0.3,1.02,255.32,360.89
2.76,9.29,1.6,0.1,0.11,1.01,708.24,929.28
4.85,8.72,0.42,0.28,0.17,0.73,715.13,946.28
4.71,8.34,0.17,0.05,0.08,0.52,603.63,789.46
4.48,8.42,0.34,0.05,0.15,0.71,506.56,657.71
5.59,7.91,0.42,0.18,0.14,1.22,623.89,767.55
6.31,7.19,0.42,0.14,0.2,1.35,813.2,1008.99
7.73,5.71,0.55,0.13,0.2,1.26,1155.54,1307.16
8.47,4.8,0.04,0.23,0.13,1.15,1018.17,1137.09
8.99,3.72,-0.01,0.35,-0.18,1.17,784.16,903.21
9.26,3.23,-0.51,0.36,-0.05,1.16,776.74,922.67
10.34,2.26,-0.49,0.48,0.14,1.07,693.73,800.92
10.66,1.55,0.04,0.49,0.09,0.95,757.3,885.74
10.35,0.31,-1.38,0.33,-0.22,0.76,759.0,887.89
10.24,-0.18,-1.21,0.28,-0.4,0.54,677.49,824.92
10.35,-0.51,-1.9,0.29,-0.23,0.55,586.57,715.43
10.79,-1.26,-1.83,0.03,0.06,0.48,514.86,626.12
10.92,-1.52,-1.96,-0.08,-0.02,0.19,402.81,437.3
9.72,-1.35,-1.6,-0.06,-0.03,0.08,310.57,324.05
9.46,-1.47,-2.0,0.02,-0.07,0.19,209.68,217.9
9.86,-1.87,-2.0,-0.11,-0.03,-0.01,200.97,292.83
