ax,ay,az,gx,gy,gz,mav,rms
8.66,-5.3,-1.68,-0.05,0.04,0.03,64.55,100.04
8.59,-5.34,-1.64,-0.06,0.05,0.03,71.02,114.56
8.58,-5.35,-1.63,-0.06,0.06,0.02,79.43,129.21
8.59,-5.34,-1.56,-0.07,0.07,0.02,49.9,60.83
8.54,-5.26,-1.5,-0.08,0.07,0.02,58.12,104.15
8.6,-5.29,-1.44,-0.08,0.08,0.02,60.78,79.23
8.64,-5.24,-1.44,-0.05,0.04,0.07,66.44,123.75
8.6,-5.24,-1.48,-0.06,-0.0,0.06,61.2,93.0
8.57,-5.51,-1.6,-0.03,0.01,0.11,61.34,89.55
8.48,-5.57,-1.49,0.04,-0.04,0.07,67.42,120.08
8.42,-5.7,-1.54,0.01,-0.06,0.05,76.26,110.35
8.44,-5.55,-1.63,-0.01,-0.02,0.04,76.09,111.74
8.5,-5.52,-1.71,-0.01,0.02,0.04,43.24,51.8
8.41,-5.67,-1.61,-0.01,0.04,0.06,55.55,81.14
8.35,-5.56,-1.56,-0.04,0.01,0.06,136.72,198.82
8.47,-5.7,-1.56,-0.02,-0.02,0.06,125.03,174.61
8.15,-5.75,-1.5,-0.06,0.02,0.05,431.88,593.99
8.31,-5.87,-1.58,-0.05,-0.07,0.04,381.86,507.41
8.78,-5.96,-1.75,-0.04,0.05,-0.19,605.85,814.25
8.76,-5.66,-2.06,-0.11,0.08,-0.35,556.84,688.67
9.41,-5.17,-2.49,-0.18,0.05,-0.53,764.51,1014.51
9.69,-4.31,-2.05,-0.29,0.01,-0.78,743.74,1005.81
9.86,-3.83,-1.93,-0.37,0.16,-1.01,727.21,964.16
9.48,-2.97,-1.71,-0.3,0.22,-1.07,1157.99,1449.14
10.13,-1.89,-2.23,-0.34,0.01,-1.06,1384.07,1631.45
10.2,-0.78,-2.4,-0.19,-0.21,-1.07,1073.42,1315.73
10.66,0.23,-2.37,-0.35,-0.01,-1.19,1222.0,1404.65
10.73,1.78,-2.43,-0.35,0.06,-1.32,1159.1,1351.01
9.17,2.25,-1.7,-0.41,-0.07,-1.52,1160.03,1333.3
9.06,5.06,-3.08,-0.5,-0.22,-1.46,1003.23,1161.26
8.08,6.31,-1.9,-0.46,-0.15,-1.76,1017.65,1194.36
6.16,6.2,-2.03,-0.37,0.34,-1.73,739.68,877.29
5.33,7.15,-1.6,-0.38,0.22,-1.39,716.91,813.66
3.84,8.89,-0.86,-0.1,0.16,-1.24,722.28,889.36
2.81,8.45,-0.86,-0.12,0.32,-1.08,749.36,890.44
0.61,9.77,-0.34,0.02,0.26,-0.61,582.6,619.96
0.47,10.02,-1.25,-0.02,0.02,-0.45,426.97,445.47
0.48,10.01,-1.32,-0.12,0.06,-0.1,301.72,312.95
0.81,9.87,-1.04,-0.17,-0.07,0.05,228.05,254.71
0.89,9.8,-0.76,-0.19,-0.09,0.12,165.65,188.97
1.16,9.81,-0.66,-0.17,0.01,0.16,148.95,184.72
1.16,9.44,-0.42,-0.1,0.32,0.42,122.42,138.57
1.07,9.4,-0.4,-0.01,0.17,0.75,166.4,281.07
2.36,8.92,-0.49,0.09,0.13,1.3,182.48,251.61
3.22,8.63,-0.73,0.11,0.06,1.45,236.11,399.04
5.24,7.26,-0.83,0.19,-0.25,1.51,366.57,587.55
5.91,6.98,-1.65,0.22,-0.07,1.64,317.15,459.87
7.08,5.17,-1.8,0.24,0.05,1.95,259.21,353.23
9.29,3.74,-2.6,0.21,-0.17,2.14,311.96,413.23
9.58,1.81,-2.33,0.18,-0.29,2.05,394.95,514.61
10.56,-1.13,-2.59,0.16,0.1,1.7,463.7,607.25
10.74,-1.94,-2.69,0.07,0.19,1.48,413.38,526.24
10.08,-3.27,-1.92,0.2,-0.05,1.11,413.17,502.4
9.03,-4.0,-2.18,0.39,-0.12,1.04,310.5,349.21
9.54,-5.33,-3.16,0.33,0.06,1.13,369.04,489.2
11.53,-5.83,-2.57,0.22,0.05,0.29,309.21,370.32
8.13,-4.95,-2.46,-0.08,0.21,-0.31,264.53,283.39
7.68,-5.04,-2.26,-0.09,0.24,0.17,191.52,208.66
10.09,-5.57,-2.45,-0.09,0.26,0.06,188.66,245.7
7.99,-5.13,-1.88,-0.13,0.19,-0.09,188.96,236.21
8.74,-5.34,-1.79,-0.17,0.1,0.08,140.34,177.27
8.61,-5.49,-2.04,-0.11,0.07,0.03,198.96,254.19
8.55,-5.53,-1.74,-0.04,-0.02,0.01,136.47,161.63
8.43,-5.28,-1.98,-0.03,-0.08,0.02,137.69,169.67
8.58,-5.27,-2.22,0.06,-0.12,0.06,106.17,117.81
8.47,-5.52,-2.12,0.01,0.0,0.14,119.51,176.65
8.5,-5.49,-2.26,-0.06,0.1,0.1,123.28,158.4
8.29,-5.65,-2.04,-0.05,0.16,0.14,133.68,192.9
