ax,ay,az,gx,gy,gz,mav,rms
10.81,3.89,-1.79,0.17,0.52,2.29,459.07,524.11
11.0,1.89,-1.03,-0.14,0.29,1.84,431.63,487.76
11.67,0.4,-0.17,-0.13,0.26,1.27,330.96,379.36
13.78,-0.03,-0.55,0.15,0.15,0.56,0.0,355.51
10.24,0.29,-0.79,0.01,-0.02,-0.15,0.0,321.95
11.22,-0.03,-0.5,-0.19,0.09,0.02,0.0,348.77
9.18,0.34,0.56,-0.17,0.37,-0.28,0.0,305.34
9.86,0.55,-0.13,-0.01,-0.03,0.04,0.0,0.0
10.38,0.53,-0.18,-0.13,0.0,-0.09,0.0,0.0
9.97,0.44,0.25,-0.14,0.08,-0.01,0.0,0.0
10.49,0.54,0.13,-0.01,-0.04,-0.1,0.0,0.0
9.74,0.76,-0.19,-0.09,0.03,-0.09,0.0,0.0
10.58,0.77,0.15,-0.07,-0.03,-0.05,0.0,0.0
11.14,1.07,-0.38,-0.14,0.02,-0.55,0.0,0.0
11.21,1.61,-0.61,-0.3,0.27,-0.96,330.28,464.14
10.54,2.74,-0.33,-0.3,0.17,-1.18,410.6,570.4
9.93,3.62,-0.15,-0.35,-0.04,-1.42,565.46,857.6
9.69,4.82,0.14,-0.46,-0.13,-1.91,590.93,849.69
7.47,6.11,0.55,-0.5,-0.14,-2.36,414.53,570.44
5.1,6.48,0.77,-0.64,-0.21,-2.7,988.6,1305.59
0.99,6.61,1.36,-0.78,-0.25,-2.7,726.75,918.86
-1.55,6.34,2.91,-0.99,-0.8,-2.66,935.06,1155.42
-2.85,7.2,3.16,-0.75,-0.36,-1.93,869.74,1142.13
-4.04,8.26,3.96,-0.4,-0.4,-0.93,1076.12,1381.01
-4.16,8.14,4.32,-0.2,-0.31,-0.51,1131.14,1364.08
-3.16,8.26,3.94,-0.0,0.13,0.17,1074.04,1290.94
-4.45,7.78,3.98,0.1,0.23,0.54,716.28,837.1
-4.63,7.57,3.84,0.52,0.79,1.7,446.31,536.73
-3.82,7.84,2.72,0.79,0.62,2.54,426.49,578.45
0.14,7.55,1.58,1.03,0.2,3.18,576.38,809.08
