ax,ay,az,gx,gy,gz,mav,rms
4.49,11.0,-0.54,-0.02,-0.66,0.65,538.13,626.01
3.01,9.35,1.01,-0.47,-0.78,-0.11,505.41,596.97
4.1,11.55,-0.27,-0.53,0.42,0.03,413.22,489.99
5.1,10.74,1.53,-0.46,0.38,-0.77,589.67,806.08
1.26,10.22,1.97,-0.09,0.11,0.2,764.31,940.02
2.23,9.55,1.79,0.06,0.28,0.13,655.56,762.37
2.67,9.66,1.94,0.09,0.16,0.26,624.61,733.13
4.69,10.94,2.18,0.36,-0.35,0.33,570.47,643.66
3.86,11.85,1.74,0.54,-0.37,0.66,539.93,608.54
5.47,11.11,-0.17,0.51,-0.04,0.37,505.01,571.9
4.03,10.73,-0.92,0.06,-0.38,-0.33,555.77,759.9
1.31,8.83,-0.71,-0.64,-0.56,-0.92,533.49,786.98
2.49,6.53,0.49,-0.74,-0.61,-1.06,732.91,973.54
2.88,6.94,0.32,-0.49,0.25,-1.55,693.9,897.87
-1.19,5.2,1.93,-0.39,1.09,-1.58,924.56,1240.86
0.8,8.2,0.72,0.16,-0.1,0.77,1685.26,1943.76
