ax,ay,az,gx,gy,gz,mav,rms
3.98,8.31,1.03,0.21,0.22,0.61,734.37,796.33
4.02,10.03,0.3,-0.04,0.1,0.02,545.23,587.16
3.52,10.82,0.45,-0.33,-0.37,-0.14,390.63,413.57
3.42,9.96,1.31,-0.09,-0.29,-0.55,0.0,304.91
4.6,11.37,0.74,-0.24,-0.01,-0.27,0.0,313.62
3.55,10.8,1.32,-0.42,1.16,-0.7,471.14,610.86
1.03,9.88,2.11,-0.24,0.17,-0.04,618.02,757.76
2.47,9.29,1.56,-0.06,0.33,0.08,590.72,690.0
1.68,9.25,1.98,-0.06,0.08,0.08,596.57,662.29
2.79,9.84,1.67,0.07,0.11,0.1,560.45,637.37
3.84,12.28,1.93,0.21,-0.15,0.27,509.0,566.46
3.61,12.22,1.56,0.38,-0.18,0.68,431.43,476.58
3.48,9.57,1.33,0.04,-0.42,0.3,367.25,412.9
3.11,9.05,1.45,-0.24,-0.29,-0.28,364.9,449.38
2.92,8.13,1.31,-0.27,-0.37,-0.95,514.02,785.48
1.0,7.28,1.81,-0.4,-0.71,-1.18,527.07,761.79
0.76,6.93,2.11,-0.1,-0.07,-1.13,513.65,786.4
0.94,8.54,0.12,-0.05,0.48,-1.03,747.41,1009.43
-0.41,8.44,1.0,-0.45,-0.1,-1.13,680.1,886.14
-2.63,8.11,2.01,-0.1,0.05,-0.0,1018.81,1459.97
1.38,7.1,1.59,0.1,0.67,1.42,626.41,714.73
