ax,ay,az,gx,gy,gz,mav,rms
9.77,-1.83,-3.22,-0.09,0.05,0.02,136.82,171.95
9.79,-1.78,-3.08,-0.06,0.06,0.02,200.53,282.59
9.83,-1.71,-3.1,-0.07,0.03,0.02,118.39,131.84
9.8,-1.78,-3.15,-0.07,0.01,0.04,128.18,167.22
9.74,-1.76,-3.2,-0.04,-0.0,0.04,169.94,244.55
9.94,-1.85,-3.23,-0.03,-0.15,0.01,280.51,428.11
9.95,-1.61,-3.86,-0.05,-0.15,-0.09,427.15,645.32
10.34,-1.67,-3.87,-0.18,-0.18,-0.2,464.63,622.25
10.3,-1.04,-4.18,-0.19,-0.15,-0.54,672.29,931.58
9.15,-0.16,-3.82,-0.29,-0.1,-0.67,564.92,754.43
9.74,0.19,-4.63,-0.29,-0.07,-0.62,564.92,754.43
10.11,0.66,-4.19,-0.42,-0.17,-0.86,1030.05,1292.34
9.5,2.15,-4.85,-0.33,-0.0,-0.92,1030.05,1292.34
8.26,2.97,-4.27,-0.21,0.14,-0.71,802.21,992.86
8.98,3.92,-4.54,-0.32,-0.02,-0.66,1159.31,1419.59
8.75,4.28,-4.51,-0.32,-0.05,-0.7,1159.31,1419.59
8.05,4.82,-4.3,-0.38,-0.02,-0.78,938.34,1086.68
7.92,5.12,-4.1,-0.53,0.01,-0.93,1240.98,1497.8
6.55,6.77,-3.39,-0.53,-0.09,-1.0,875.45,1075.46
5.91,7.25,-3.29,-0.47,-0.03,-1.02,951.46,1138.55
5.48,8.02,-3.15,-0.51,0.01,-1.1,951.46,1138.55
4.09,8.0,-2.44,-0.52,0.01,-1.16,953.23,1204.98
3.3,9.05,-2.66,-0.38,0.08,-1.03,855.94,1044.65
2.01,10.07,-2.37,-0.34,0.13,-0.81,582.86,696.05
0.97,9.24,-1.25,-0.44,0.1,-0.82,582.86,696.05
0.14,9.64,-1.37,-0.47,-0.08,-0.7,680.76,922.55
-0.24,9.73,-1.03,-0.49,-0.1,-0.64,680.76,922.55
-0.78,9.54,-0.3,-0.56,0.02,-0.66,413.43,443.57
-1.46,9.55,0.21,-0.48,-0.07,-0.56,413.43,443.57
-1.97,9.04,0.65,-0.33,-0.11,-0.46,349.44,407.67
-2.7,9.3,0.41,-0.17,0.22,-0.17,234.96,250.2
-2.53,9.55,0.67,-0.11,0.24,-0.1,174.76,200.22
-2.6,9.29,0.44,-0.08,0.05,0.02,128.82,140.68
-2.53,9.3,0.47,-0.05,0.12,0.05,111.34,133.46
-2.45,9.52,0.3,0.04,0.23,0.27,84.79,105.75
-2.23,9.35,0.41,0.08,0.23,0.4,84.79,105.75
-1.6,9.47,-0.01,0.16,0.13,0.74,179.58,290.44
-1.0,9.57,-0.09,0.22,0.13,0.86,179.58,290.44
0.41,9.38,-0.66,0.33,0.03,1.11,306.36,480.42
1.67,9.48,-1.1,0.33,-0.11,1.21,603.26,1046.62
3.38,9.44,-1.64,0.23,0.03,1.0,623.75,911.4
4.06,8.74,-1.78,0.22,0.11,0.88,703.61,1070.29
4.03,8.58,-1.47,0.21,0.07,0.82,703.61,1070.29
4.9,8.1,-2.0,0.25,-0.09,0.83,483.54,564.34
5.95,7.92,-2.58,0.25,0.06,0.9,696.1,947.43
6.37,7.23,-2.48,0.27,0.05,0.92,681.82,897.14
7.43,6.73,-3.33,0.31,0.0,0.93,580.93,779.87
8.05,5.48,-3.58,0.27,0.22,0.86,917.73,1230.54
8.21,4.74,-3.44,0.21,0.11,0.81,528.37,603.24
8.82,4.28,-3.43,0.23,-0.09,0.8,524.31,718.84
9.22,3.45,-3.97,0.18,-0.03,0.78,594.39,878.13
9.29,3.05,-3.81,0.14,0.04,0.7,594.39,878.13
9.23,2.39,-3.78,0.15,0.14,0.57,477.1,520.9
9.65,1.69,-3.84,0.18,-0.08,0.56,535.39,726.84
9.54,1.3,-3.94,0.12,-0.09,0.54,408.48,485.45
9.66,0.71,-4.1,0.12,-0.03,0.49,408.48,485.45
9.67,0.44,-4.32,0.08,0.12,0.39,684.04,939.95
9.43,-0.17,-3.87,0.13,0.09,0.44,376.55,431.66
9.84,-0.63,-4.13,0.1,0.1,0.42,501.49,681.65
9.92,-0.89,-4.19,0.03,0.13,0.24,459.83,564.04
9.51,-1.13,-4.02,-0.01,0.13,0.2,331.27,373.63
9.75,-1.26,-3.95,-0.05,0.11,0.15,298.26,349.01
9.88,-1.39,-3.54,-0.08,0.07,0.1,299.07,405.42
9.69,-1.21,-3.97,-0.07,0.07,-0.02,326.85,396.91
