ax,ay,az,gx,gy,gz,mav,rms
9.81,-0.97,-3.71,-0.11,0.01,-0.05,218.35,260.42
9.52,-0.89,-3.68,-0.15,0.01,-0.07,272.87,343.37
9.71,-0.94,-3.85,-0.04,0.08,-0.01,566.4,876.47
10.41,-0.97,-3.88,-0.19,-0.03,-0.28,566.4,876.47
9.87,-0.1,-4.28,-0.21,-0.21,-0.46,661.33,870.76
9.51,0.13,-4.44,-0.24,-0.06,-0.57,658.84,845.11
9.37,0.98,-3.95,-0.39,-0.14,-0.71,1013.64,1333.94
9.18,1.54,-4.23,-0.4,-0.12,-0.7,1165.46,1462.74
8.96,2.37,-3.77,-0.49,0.04,-0.76,650.51,847.05
9.13,3.17,-4.01,-0.48,-0.03,-0.74,650.51,847.05
9.27,4.3,-4.25,-0.57,0.01,-1.04,1009.36,1276.65
8.42,4.54,-4.08,-0.56,0.09,-1.26,1009.36,1276.65
6.69,5.8,-3.41,-0.5,0.05,-1.25,1093.73,1232.23
6.73,7.52,-3.76,-0.4,0.04,-1.17,1093.73,1232.23
5.09,7.67,-2.35,-0.59,0.04,-1.26,998.66,1239.14
4.15,8.32,-2.69,-0.54,0.11,-1.22,955.3,1117.31
2.79,9.08,-1.83,-0.56,0.12,-1.05,1047.58,1232.98
1.25,8.95,-0.95,-0.44,0.07,-0.89,720.59,829.91
0.76,9.57,-0.6,-0.45,0.03,-0.73,763.99,882.17
0.07,9.74,-0.43,-0.49,0.1,-0.69,763.99,882.17
-0.29,9.55,-0.42,-0.33,0.17,-0.65,454.73,491.09
-1.02,9.5,0.17,-0.26,0.09,-0.69,416.55,484.07
-1.65,9.39,0.25,-0.29,0.06,-0.72,296.25,307.83
-2.59,9.0,0.55,-0.27,0.04,-0.82,189.41,198.53
-3.57,8.87,0.18,-0.18,-0.02,-0.68,132.48,138.8
-4.23,8.64,0.47,-0.14,0.04,-0.56,99.43,106.21
-4.87,8.69,0.6,-0.12,0.11,-0.41,89.71,104.46
-5.07,8.25,0.64,-0.06,0.13,-0.12,90.56,111.76
-5.1,8.47,0.28,-0.04,0.07,0.11,65.85,73.72
-5.56,8.46,0.33,-0.01,0.11,0.48,69.17,94.76
-4.6,8.78,0.32,0.03,0.03,0.64,82.24,125.81
-2.88,9.0,0.41,0.08,-0.09,0.82,143.84,215.43
-2.09,9.21,0.27,0.15,0.1,0.77,217.02,328.83
-1.79,9.27,-0.11,0.17,0.35,0.84,139.7,165.93
-1.04,9.63,-0.48,0.2,0.17,1.01,277.73,446.82
-0.18,9.38,-0.64,0.25,-0.13,1.21,388.5,553.9
1.2,9.9,-1.17,0.26,-0.42,1.31,366.42,528.86
3.33,9.0,-1.1,0.22,-0.42,1.13,841.6,1284.72
4.28,8.76,-1.97,0.11,0.03,0.75,634.14,951.56
4.17,8.49,-1.89,0.16,0.18,0.65,562.34,740.93
4.22,8.42,-1.81,0.19,0.21,0.78,684.74,907.66
5.37,7.97,-2.26,0.25,0.11,0.99,735.08,957.46
6.38,7.42,-2.5,0.29,-0.01,1.18,887.7,1166.7
7.15,6.1,-2.37,0.27,-0.03,1.15,944.22,1223.15
7.95,5.42,-2.88,0.31,0.03,1.07,904.56,1182.98
8.5,4.97,-3.31,0.27,0.02,0.99,596.23,697.24
9.09,3.71,-3.31,0.28,-0.01,0.82,537.45,606.04
9.11,2.97,-3.97,0.31,0.06,0.7,567.35,690.15
9.22,2.29,-3.98,0.33,0.15,0.75,602.17,827.94
9.96,1.41,-4.02,0.2,0.04,0.68,661.8,841.61
10.17,1.1,-4.27,0.12,0.07,0.49,553.28,634.08
9.68,0.81,-4.11,0.08,0.09,0.36,636.26,918.54
9.71,0.56,-3.76,0.08,0.06,0.33,636.26,918.54
9.6,0.51,-3.99,0.07,0.11,0.35,376.98,435.48
9.88,-0.08,-3.95,0.01,0.03,0.19,533.26,646.58
9.73,-0.23,-3.79,0.05,0.05,0.21,320.14,386.77
