ax,ay,az,gx,gy,gz,mav,rms
9.62,-1.96,-3.58,-0.09,0.09,0.05,228.45,292.78
9.55,-1.89,-3.53,-0.05,0.05,0.01,234.97,325.46
9.64,-1.91,-3.65,-0.04,0.02,0.01,307.4,424.89
9.66,-1.88,-3.57,-0.04,0.04,0.01,253.9,322.56
9.59,-1.88,-3.61,-0.07,0.03,0.02,221.49,259.21
9.73,-1.89,-3.62,-0.05,0.01,0.03,229.83,269.6
9.53,-1.94,-3.68,-0.04,0.01,0.04,304.15,371.69
9.54,-2.02,-3.7,-0.06,-0.03,0.03,307.24,422.29
9.7,-1.98,-3.92,-0.07,-0.04,-0.03,346.83,505.06
10.07,-1.85,-4.18,-0.14,-0.11,-0.15,691.78,943.7
10.01,-1.45,-4.09,-0.22,-0.11,-0.49,685.29,962.74
9.64,-0.84,-4.12,-0.25,-0.18,-0.69,563.08,718.9
9.71,-0.34,-4.61,-0.31,-0.14,-0.7,879.62,1186.8
9.37,0.38,-4.56,-0.41,-0.09,-0.74,728.1,920.06
9.33,1.48,-4.94,-0.37,-0.03,-0.77,803.04,1108.33
9.18,2.31,-4.54,-0.39,-0.01,-0.8,929.08,1153.25
9.02,3.3,-4.57,-0.39,0.03,-0.82,1078.78,1354.98
8.87,4.09,-4.54,-0.47,0.01,-0.95,856.84,1108.83
8.1,5.01,-4.29,-0.55,0.09,-1.06,1177.01,1476.13
7.17,5.9,-4.05,-0.52,0.08,-1.06,1039.9,1309.5
6.12,6.63,-3.2,-0.42,-0.02,-0.99,985.5,1203.99
5.67,7.38,-3.17,-0.36,-0.02,-0.94,1148.73,1388.29
4.64,7.72,-3.29,-0.37,0.09,-0.92,909.79,1073.48
4.47,8.83,-3.44,-0.29,-0.02,-0.86,1125.64,1362.38
3.83,9.05,-3.07,-0.38,-0.04,-0.89,783.26,984.18
2.32,9.03,-2.49,-0.38,-0.01,-0.84,925.12,1205.76
1.34,9.46,-2.03,-0.38,0.01,-0.64,676.45,792.86
0.63,9.71,-1.85,-0.28,0.08,-0.47,720.72,991.22
0.37,9.84,-1.41,-0.36,-0.04,-0.47,753.55,953.97
0.21,9.52,-1.33,-0.34,-0.12,-0.4,578.07,612.24
-0.36,9.58,-1.11,-0.26,-0.01,-0.26,364.69,396.12
-0.49,9.8,-1.01,-0.23,0.05,-0.19,298.21,324.83
-0.92,9.68,-0.68,-0.27,0.0,-0.09,234.58,293.69
-0.98,9.5,-0.52,-0.11,-0.01,0.1,197.24,227.24
-0.82,9.78,-0.33,-0.08,0.06,0.21,216.12,304.28
-0.53,9.61,-0.34,0.03,0.09,0.36,169.99,201.28
-0.42,9.53,-0.5,0.17,0.13,0.58,239.43,332.21
0.34,9.39,-0.76,0.31,0.15,0.84,257.8,341.44
1.68,9.46,-1.52,0.38,0.1,1.03,625.22,1027.9
2.88,9.12,-1.76,0.24,-0.04,0.94,791.76,1185.44
4.14,9.14,-2.55,0.14,-0.09,0.78,683.8,973.67
4.21,8.5,-2.33,0.14,0.04,0.77,686.65,913.9
4.71,8.34,-2.26,0.14,0.09,0.84,690.56,934.95
5.47,7.98,-2.36,0.19,-0.03,0.97,687.56,963.37
6.4,7.19,-2.66,0.29,-0.09,1.03,709.44,943.11
7.1,6.39,-3.12,0.36,0.02,1.06,597.03,737.17
7.59,5.12,-3.26,0.42,0.08,1.09,585.45,720.72
8.21,4.4,-3.56,0.46,0.04,1.15,652.9,892.43
8.9,3.18,-3.85,0.38,-0.02,1.12,634.54,790.43
9.53,2.17,-4.12,0.32,-0.05,0.97,826.21,1048.01
10.05,1.37,-4.63,0.3,0.05,0.72,537.62,598.24
9.8,0.96,-4.41,0.25,0.05,0.57,674.7,820.93
9.45,0.36,-4.39,0.21,0.05,0.51,390.35,438.73
9.69,-0.34,-4.38,0.17,0.07,0.5,336.07,386.85
9.88,-0.83,-4.29,0.02,0.13,0.37,357.66,446.8
9.43,-1.14,-3.97,-0.05,0.14,0.33,285.35,323.83
9.64,-1.47,-4.0,0.01,0.1,0.32,259.06,319.96
9.63,-1.68,-4.05,0.05,0.11,0.34,274.25,383.73
9.82,-1.94,-4.01,-0.01,0.11,0.25,255.47,302.24
9.51,-2.07,-3.83,-0.03,0.05,0.2,256.33,328.91
9.78,-2.49,-3.81,-0.05,0.0,-0.03,315.69,434.65
