ax,ay,az,gx,gy,gz,mav,rms
9.05,5.75,0.4,0.53,0.47,2.52,527.21,726.95
10.43,3.31,0.5,0.52,0.12,1.9,407.67,524.38
9.67,1.93,0.44,0.17,0.18,1.43,351.94,407.0
12.46,1.7,-0.03,-0.03,0.01,0.96,320.09,385.41
11.71,1.38,0.48,-0.05,-0.15,-0.05,327.84,413.21
9.43,1.53,0.75,-0.0,0.0,-0.06,274.02,341.04
9.43,1.53,0.75,-0.0,0.0,-0.06,225.15,279.04
10.17,1.7,0.13,0.01,0.02,0.07,195.43,246.56
10.07,1.42,-0.12,-0.08,0.01,-0.04,156.61,179.47
9.7,1.76,0.22,-0.09,0.0,-0.01,225.32,327.81
10.16,1.67,0.34,-0.07,-0.1,0.03,347.83,485.36
11.41,1.65,-0.05,-0.12,-0.23,-0.18,478.42,800.02
12.03,2.21,-0.48,-0.26,0.19,-0.92,639.24,846.24
12.38,3.08,-1.49,-0.51,0.38,-1.81,596.45,855.53
10.25,4.6,-0.53,-0.9,-0.47,-2.6,689.0,989.15
6.4,5.21,1.0,-1.12,-0.15,-3.12,1057.39,1462.53
2.81,5.64,0.44,-0.9,-0.06,-3.09,1248.52,1525.85
-0.62,8.14,1.85,-0.75,0.33,-2.46,987.39,1235.41
-2.82,6.28,4.05,-0.69,0.31,-2.03,921.93,1068.52
-5.62,7.86,5.11,-0.01,0.2,-0.08,683.05,765.58
-4.57,7.86,4.26,0.39,0.09,1.51,698.41,825.2
-2.19,7.7,3.02,0.72,-0.03,2.68,717.62,866.5
