ax,ay,az,gx,gy,gz,mav,rms
10.1,-1.77,1.6,0.09,-0.53,-0.17,329.53,462.77
10.51,-1.25,0.56,0.04,-0.9,-0.37,340.39,501.34
11.12,-0.99,0.08,-0.03,-0.33,-0.63,434.48,626.66
11.19,-0.3,-0.37,-0.1,0.05,-0.99,454.49,591.67
10.03,0.42,-0.39,-0.16,0.2,-1.14,549.38,673.21
9.57,2.02,-0.32,-0.18,0.12,-1.12,563.56,762.12
9.62,2.63,0.3,-0.23,0.21,-1.15,772.93,1093.14
8.13,4.25,0.47,-0.31,0.25,-1.31,632.41,831.78
8.06,5.59,0.47,-0.34,-0.02,-1.31,730.07,931.23
7.06,6.11,0.58,-0.33,0.08,-1.29,789.7,1011.86
6.32,7.3,1.82,-0.24,0.07,-1.15,694.79,855.74
5.19,8.37,1.57,-0.12,-0.04,-1.03,799.87,1006.74
4.24,8.71,1.25,-0.08,-0.02,-0.95,771.03,999.59
3.16,8.5,1.36,-0.12,-0.11,-0.86,718.76,932.65
2.72,9.3,1.51,-0.24,-0.32,-0.75,655.39,840.35
1.83,8.89,1.74,-0.23,-0.09,-0.68,830.51,1059.99
1.24,9.59,1.66,-0.18,-0.15,-0.52,706.89,859.18
0.82,9.56,1.77,-0.25,-0.23,-0.53,763.03,924.72
0.72,9.03,2.15,-0.23,-0.26,-0.43,705.92,933.5
0.54,9.37,1.88,-0.19,-0.24,-0.35,626.69,697.28
0.33,9.35,2.32,-0.21,-0.19,-0.43,655.22,782.36
-0.18,8.98,2.41,-0.15,-0.19,-0.56,659.83,869.16
-0.64,9.2,2.54,-0.14,-0.31,-0.65,587.88,717.55
-0.88,8.89,2.57,-0.07,-0.16,-0.73,543.35,615.46
-2.2,8.6,2.44,-0.11,-0.18,-0.82,423.05,467.53
-2.59,8.65,2.75,-0.11,-0.09,-0.62,310.09,345.93
-3.78,8.63,2.8,-0.02,0.23,-0.43,271.49,298.08
-4.36,8.27,2.61,0.0,0.02,-0.23,200.33,231.55
-4.28,8.31,2.5,-0.05,0.01,0.05,256.11,308.04
-4.08,8.44,2.31,-0.07,0.17,0.25,208.73,279.21
-3.44,8.37,2.28,-0.03,0.13,0.35,205.31,232.86
-3.22,8.75,2.42,-0.0,0.28,0.37,205.31,232.86
-2.96,8.82,2.43,0.03,0.26,0.42,201.56,252.46
-2.64,8.73,2.21,0.02,0.22,0.54,223.55,316.92
-2.24,8.87,1.8,0.03,0.25,0.63,197.52,248.57
-1.44,9.1,1.7,-0.07,0.09,0.56,238.99,329.39
-1.06,9.23,1.67,-0.11,0.08,0.59,205.81,250.04
-0.78,9.27,1.7,-0.01,0.1,0.71,205.81,250.04
-0.36,9.36,2.13,0.07,0.31,1.0,260.77,356.9
0.43,8.93,1.93,0.05,0.32,1.45,469.62,688.79
3.13,9.53,1.08,-0.12,0.39,1.72,912.4,1299.91
4.9,8.53,1.87,-0.14,0.06,1.31,918.55,1246.64
5.92,7.08,1.43,-0.07,-0.05,0.86,626.82,742.67
6.47,7.11,1.74,-0.04,0.06,0.68,638.82,799.57
6.57,7.01,1.56,0.14,0.12,0.47,809.0,1100.85
6.32,6.86,1.43,-0.0,0.11,0.42,709.9,954.92
6.69,6.9,1.18,-0.04,-0.09,0.55,697.46,988.1
7.09,6.78,1.64,-0.06,0.11,0.66,856.04,1135.72
7.6,6.03,1.82,-0.05,0.14,0.71,836.72,1113.33
8.16,5.38,1.63,-0.01,-0.15,0.67,826.29,1052.48
8.61,5.05,1.55,-0.06,-0.05,0.59,826.29,1052.48
8.61,4.52,1.19,-0.11,0.18,0.54,729.79,896.42
8.45,4.02,1.47,-0.08,-0.18,0.66,545.07,675.81
9.24,3.21,1.05,-0.02,-0.01,0.79,542.26,762.6
9.61,2.57,1.43,-0.05,0.28,0.8,536.93,709.2
9.73,1.66,1.76,-0.04,-0.06,0.71,587.49,843.0
9.99,1.25,1.15,0.0,-0.22,0.65,500.34,659.55
10.15,0.61,0.63,0.01,0.02,0.61,442.35,550.82
10.24,0.07,0.67,0.03,0.02,0.54,517.26,677.51
10.26,-0.34,0.99,-0.02,0.05,0.38,404.63,463.26
9.85,-0.57,1.02,-0.02,0.16,0.34,336.76,380.17
10.06,-0.72,0.83,-0.01,0.21,0.39,307.53,386.69
10.22,-1.16,0.93,-0.04,0.06,0.38,304.67,403.58
10.17,-1.36,1.26,-0.04,0.01,0.29,269.44,321.89
9.92,-1.41,1.25,-0.07,0.12,0.16,219.47,246.4
9.64,-1.62,1.22,-0.13,0.14,0.21,225.59,277.29
9.65,-1.95,1.35,-0.11,0.05,0.26,213.04,251.79
9.82,-2.16,1.41,-0.09,0.04,0.15,198.17,238.91
