ax,ay,az,gx,gy,gz,mav,rms
9.85,-2.38,0.44,-0.16,0.18,0.0,119.52,143.97
9.71,-2.44,0.77,-0.08,0.05,-0.01,122.5,158.6
9.96,-2.42,0.69,-0.04,-0.01,0.01,126.71,177.49
9.84,-2.38,0.58,-0.05,-0.02,0.0,144.06,240.3
9.85,-2.37,0.46,-0.03,-0.01,-0.02,358.34,568.57
9.97,-2.32,0.53,-0.05,0.07,0.0,259.27,379.77
9.93,-2.33,0.64,-0.05,0.06,-0.01,253.46,389.38
9.73,-2.24,0.61,-0.07,-0.12,-0.01,215.64,263.21
9.87,-2.17,0.35,-0.04,-0.01,0.0,307.54,439.37
9.86,-2.15,0.37,-0.08,0.08,0.0,229.22,292.53
9.84,-2.18,0.42,-0.12,0.12,-0.01,207.48,259.99
9.91,-2.18,0.57,-0.07,0.12,-0.01,167.16,222.33
10.0,-2.14,0.67,-0.05,0.05,0.01,180.39,217.6
9.78,-2.15,0.65,-0.04,0.03,0.01,199.69,290.3
10.29,-2.21,0.79,-0.1,0.07,0.02,180.12,237.13
10.66,-1.99,1.01,-0.04,-0.23,-0.3,364.57,607.82
10.72,-1.92,0.06,-0.04,-0.54,-0.7,367.85,501.86
10.83,-0.75,-0.85,-0.23,-0.04,-1.16,441.03,688.64
10.54,0.11,-0.48,-0.25,0.19,-1.32,749.59,1086.39
9.72,1.98,-0.62,-0.27,0.29,-1.21,592.31,846.2
9.93,3.17,-0.17,-0.26,-0.0,-1.08,778.52,1091.63
9.51,3.91,-0.08,-0.21,0.13,-1.07,848.23,1176.09
8.66,4.64,0.72,-0.22,0.25,-1.07,740.53,975.55
8.04,6.11,0.94,-0.14,0.15,-1.02,852.14,1092.06
6.8,6.61,0.66,-0.22,-0.08,-0.94,779.64,1036.12
6.2,6.87,1.02,-0.23,-0.03,-0.9,961.67,1261.02
6.63,7.78,0.56,-0.09,0.11,-0.94,957.8,1209.13
4.82,7.89,1.2,-0.09,0.03,-0.98,917.73,1164.22
3.56,9.5,0.69,0.02,-0.09,-0.94,814.43,998.87
3.19,9.01,0.81,-0.23,-0.41,-0.83,928.02,1176.01
2.91,9.08,0.26,-0.19,-0.28,-0.74,832.95,1010.83
1.57,9.02,0.63,-0.2,-0.01,-0.64,832.95,1010.83
1.11,9.52,0.83,-0.2,-0.05,-0.56,660.34,741.96
0.43,9.15,1.29,-0.24,-0.33,-0.51,556.62,656.64
0.8,9.63,1.1,-0.26,-0.4,-0.52,556.62,656.64
0.06,9.47,1.45,-0.3,-0.29,-0.55,355.2,402.66
-0.81,9.61,2.1,-0.3,-0.2,-0.63,334.38,377.22
-1.47,9.06,2.37,-0.22,-0.11,-0.63,260.19,301.21
-1.91,9.01,2.23,-0.16,0.1,-0.52,232.5,275.31
-2.42,8.91,1.98,-0.07,0.13,-0.28,232.5,275.31
-3.04,9.11,1.95,-0.06,0.31,-0.09,183.54,228.21
-3.19,9.37,1.96,0.02,0.18,0.29,217.67,280.77
-2.91,9.01,1.76,0.03,0.18,0.45,217.67,280.77
-2.42,9.11,1.49,0.06,0.3,0.62,198.74,271.66
-1.07,9.35,1.26,0.07,0.1,0.77,203.77,262.1
-0.47,9.33,1.05,0.03,0.0,0.8,256.05,435.55
0.3,9.27,1.19,0.01,0.08,0.91,441.07,648.31
1.0,9.14,0.9,0.12,0.44,1.11,595.86,880.41
2.96,9.32,1.48,0.06,0.46,1.09,853.73,1219.13
3.79,8.51,1.28,0.03,0.07,0.92,901.65,1281.12
4.15,8.39,0.49,0.09,0.14,0.88,744.96,1005.49
5.1,8.61,1.09,0.04,0.3,0.88,872.74,1141.62
5.68,8.06,1.0,-0.05,0.23,0.89,1001.12,1291.34
6.22,7.49,0.72,0.0,-0.0,0.8,745.64,913.39
6.66,6.91,1.12,-0.04,0.12,0.83,844.88,1137.21
7.21,6.28,0.91,0.01,0.01,0.96,949.14,1192.45
7.92,5.63,0.69,-0.06,-0.01,1.03,967.02,1216.0
8.54,4.8,0.5,-0.15,0.07,1.15,988.24,1241.74
9.74,3.59,0.91,-0.18,-0.04,1.1,842.13,1125.67
9.48,2.27,1.09,-0.2,-0.15,1.01,731.27,871.74
10.15,1.28,0.48,-0.11,-0.07,1.05,760.85,975.66
10.43,0.34,0.63,0.03,0.07,0.88,822.65,1094.65
10.39,-0.18,0.88,0.05,0.12,0.67,697.79,893.46
10.1,-0.57,0.68,0.11,-0.01,0.61,572.14,663.29
10.12,-1.28,0.59,0.1,-0.05,0.62,483.03,510.27
10.33,-1.7,0.67,0.06,-0.01,0.55,391.34,483.99
10.94,-2.13,0.43,0.09,-0.1,0.31,279.88,318.72
9.45,-2.09,0.05,0.04,-0.02,0.11,247.57,287.15
10.08,-2.26,0.23,-0.04,0.01,0.17,181.85,210.3
