ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
3.53,7.69,4.53,-0.08,0.03,0.03,1479.13,1546.00,1,6,1
3.56,7.60,4.48,-0.08,0.03,0.02,1248.15,1405.15,1,6,1
3.58,7.64,4.53,-0.08,0.04,0.03,1198.11,1345.31,1,6,1
2.86,6.90,4.59,-0.39,0.04,0.31,1293.74,1436.79,1,6,1
6.49,7.74,3.92,0.48,0.38,0.19,1470.95,1532.02,1,6,1
7.44,6.79,3.26,-0.21,-0.38,0.14,1028.02,1294.92,1,6,1
5.65,6.92,3.52,-0.10,-0.28,0.05,778.82,1061.44,0,7,1
6.39,6.72,3.36,-0.07,0.07,0.05,1068.45,1249.04,1,7,1
6.26,6.70,3.45,-0.08,0.01,0.03,1318.63,1368.40,1,7,1
6.21,6.63,3.41,-0.07,0.06,0.03,609.24,681.47,0,8,1
6.32,6.65,3.35,-0.06,0.06,0.01,811.73,1161.19,1,8,1
6.36,6.58,3.33,-0.09,0.04,0.05,1017.42,1232.80,1,8,1
6.40,6.54,3.40,-0.06,0.05,0.01,1220.45,1316.89,1,8,1
6.38,6.51,3.44,-0.07,0.03,0.03,913.74,967.36,0,9,1
6.45,6.51,3.39,-0.06,0.06,0.01,951.60,1293.54,1,9,1
6.33,6.55,3.42,-0.07,0.03,0.03,824.23,1164.98,1,9,1
