ax,ay,az,gx,gy,gz,mav,rms
8.92,4.3,-0.27,0.81,-0.01,2.48,716.6,842.68
11.62,2.66,-1.65,0.49,0.24,1.83,702.2,833.31
12.17,1.02,-1.54,0.12,0.1,1.06,575.43,640.43
10.81,1.12,-0.17,-0.15,-0.22,0.21,465.79,507.11
10.69,1.14,-0.5,-0.09,-0.08,0.08,294.44,326.41
10.02,1.13,-0.67,-0.14,0.05,0.13,254.52,338.8
10.24,1.0,-0.5,-0.12,0.0,0.1,221.68,244.78
10.37,0.86,-0.17,-0.12,-0.07,-0.01,191.49,244.98
10.58,1.11,-0.22,-0.13,-0.08,-0.09,224.72,291.06
10.03,1.05,-0.25,-0.09,0.07,-0.02,183.27,211.23
11.98,1.17,-0.89,-0.08,-0.11,-0.08,535.19,906.16
13.42,1.25,-1.26,-0.31,0.21,-1.19,842.17,1254.04
10.35,2.63,-0.88,-0.6,-0.02,-1.83,631.53,887.69
10.35,2.63,-0.88,-0.6,-0.02,-1.83,566.99,667.08
9.38,3.96,-0.76,-0.84,-0.01,-2.11,938.07,1255.93
8.04,5.67,-0.39,-0.9,0.05,-2.5,950.6,1193.49
4.13,5.92,1.32,-0.87,-0.41,-2.49,778.59,972.69
3.11,8.18,0.41,-0.83,-0.24,-1.96,1420.96,1717.68
0.96,8.19,2.04,-0.8,0.09,-1.88,1300.91,1538.06
-1.39,8.08,3.46,-0.4,0.47,-1.71,1419.52,1606.97
-3.77,9.56,3.11,-0.2,0.02,-0.65,1186.53,1350.04
-3.74,8.88,3.22,-0.0,0.14,0.03,1005.18,1195.65
-2.9,9.29,2.59,-0.05,-0.01,0.24,913.76,1075.53
-3.23,7.96,2.95,0.38,0.39,1.47,964.95,1212.5
-1.56,8.16,2.14,0.77,0.32,2.56,1049.12,1256.81
