ax,ay,az,gx,gy,gz,mav,rms
8.98,3.87,0.24,0.61,0.32,2.83,811.42,904.9
11.1,2.11,-1.03,0.59,0.24,2.19,676.5,777.73
11.92,0.76,-1.57,0.42,0.08,1.47,573.45,634.76
11.62,-0.04,-0.8,0.2,-0.1,0.84,466.27,547.25
11.09,-0.0,-0.68,0.07,-0.13,0.26,440.53,496.11
10.66,0.14,-0.76,-0.01,-0.04,0.06,507.63,641.35
10.05,0.12,-0.49,-0.11,0.11,-0.01,497.24,661.57
10.22,-0.02,-0.51,-0.13,0.18,-0.01,619.64,802.15
10.48,0.01,-0.6,-0.08,0.07,0.03,594.46,776.83
10.63,0.05,-0.83,-0.05,0.09,-0.06,590.65,706.17
10.43,0.19,-0.75,-0.08,0.1,-0.19,601.63,756.91
10.94,0.56,-0.96,-0.17,-0.1,-0.3,582.66,688.84
11.78,0.78,-1.02,-0.26,-0.22,-0.78,694.08,979.68
11.42,1.77,-1.82,-0.45,-0.05,-1.46,834.44,1155.58
8.97,2.92,-0.66,-0.7,0.04,-1.86,1020.57,1263.68
8.01,4.12,0.35,-0.75,-0.13,-2.11,1071.76,1355.55
8.45,6.74,-0.67,-0.73,-0.12,-2.14,930.86,1084.1
5.1,7.3,-0.37,-0.83,-0.22,-2.2,922.98,1137.96
3.58,7.88,0.95,-0.87,-0.27,-1.89,1280.74,1563.76
3.06,9.89,0.77,-0.75,-0.77,-1.48,1303.58,1566.79
-0.52,7.21,3.22,-0.4,0.05,-1.14,1044.76,1254.57
-2.39,9.26,3.03,-0.14,0.13,-0.22,1025.18,1235.59
-1.69,9.28,2.85,0.21,0.36,0.39,1123.52,1306.57
-1.94,9.13,2.38,0.24,-0.03,1.05,1020.82,1209.25
-0.3,9.03,1.85,0.54,0.08,1.93,1073.13,1276.13
