ax,ay,az,gx,gy,gz,mav,rms
9.77,4.35,-1.81,0.9,0.6,2.32,1146.59,1337.48
8.88,2.51,-2.28,0.86,0.4,1.97,950.12,1055.9
10.26,1.38,-2.64,0.69,-0.02,2.13,792.91,867.95
13.12,-0.41,-2.34,0.25,0.43,1.35,638.73,664.33
12.05,-0.53,-1.91,-0.03,0.11,0.3,394.1,424.98
10.28,-0.58,-1.49,-0.11,0.06,-0.14,313.83,405.63
9.57,-0.21,-1.29,-0.06,0.03,-0.02,266.16,287.88
10.37,-0.56,-1.59,-0.11,0.07,0.08,200.53,218.22
10.08,-0.45,-1.35,-0.1,0.07,-0.03,305.61,377.27
10.24,-0.35,-1.42,-0.08,-0.07,0.0,235.38,310.81
10.29,-0.37,-1.52,-0.07,0.07,0.03,225.53,270.32
10.17,-0.34,-1.58,-0.09,0.04,-0.04,343.05,516.74
10.89,-0.24,-1.21,-0.13,-0.08,-0.25,339.32,441.73
11.42,0.19,-1.65,-0.19,0.02,-0.65,389.85,516.56
12.18,0.82,-1.77,-0.35,-0.1,-1.21,671.68,982.8
11.8,1.84,-2.05,-0.6,0.24,-2.09,515.45,606.41
9.27,3.76,-1.74,-0.79,-0.18,-2.35,689.2,880.63
6.63,5.17,0.4,-0.85,-0.44,-2.45,929.4,1242.62
5.13,7.06,-0.46,-0.73,-0.45,-2.52,1490.98,1815.86
2.01,8.67,-0.62,-0.85,-0.46,-2.05,1512.43,1697.6
-0.66,7.74,1.81,-0.82,-0.86,-1.29,1399.46,1565.82
-1.01,8.83,1.58,-0.34,0.19,-0.62,1492.98,1630.55
-2.0,8.55,2.24,-0.25,0.23,-0.13,1246.27,1392.01
-0.74,9.69,1.73,-0.0,0.1,0.46,1333.84,1478.44
0.16,9.74,1.46,0.07,0.08,0.5,1549.67,1663.05
1.04,9.41,1.64,0.17,0.26,0.72,1492.56,1611.18
0.68,7.88,1.76,0.54,0.08,1.6,1518.72,1606.77
