ax,ay,az,gx,gy,gz,mav,rms
8.92,-1.73,-5.21,-0.04,0.09,0.04,46.73,72.65
8.95,-1.71,-5.14,-0.07,0.11,0.02,46.73,72.65
8.93,-1.74,-4.92,-0.1,0.13,0.02,31.91,40.34
9.03,-1.73,-4.96,-0.06,0.12,0.03,34.96,50.14
9.2,-1.81,-4.91,-0.05,0.05,0.03,34.96,50.14
9.08,-1.74,-4.92,-0.03,0.02,0.04,34.96,50.14
9.16,-1.82,-5.02,-0.04,0.03,0.03,29.02,51.35
9.05,-1.85,-4.96,-0.04,0.01,0.03,29.02,51.35
8.99,-1.85,-4.96,-0.04,0.01,0.03,36.17,60.56
8.95,-1.72,-4.9,-0.03,0.04,0.03,36.17,60.56
9.0,-1.86,-4.99,-0.05,0.04,0.01,24.64,38.71
8.3,-0.05,-6.83,-0.47,-0.2,-0.51,316.97,432.37
7.83,1.01,-6.78,-0.42,0.38,-0.26,284.0,360.77
7.91,0.91,-6.51,-0.43,0.36,-0.25,284.0,360.77
8.22,1.23,-6.49,-0.42,0.2,-0.24,284.0,360.77
8.67,1.95,-6.41,-0.63,-0.08,-0.27,418.99,549.14
8.32,2.46,-6.2,-0.62,0.22,-0.32,313.98,394.23
7.98,3.15,-5.6,-0.6,-0.23,-0.49,324.9,412.4
7.6,3.78,-5.55,-0.54,0.05,-0.51,344.8,417.46
7.23,4.46,-5.59,-0.67,0.11,-0.43,359.99,453.18
6.69,5.08,-5.06,-0.66,-0.0,-0.49,339.68,411.58
7.3,5.86,-4.76,-0.7,0.24,-0.47,382.77,502.18
6.38,6.12,-3.79,-0.78,0.3,-0.44,426.79,532.49
6.47,6.9,-3.4,-0.59,0.05,-0.39,392.07,461.29
6.43,7.19,-2.82,-0.66,-0.03,-0.3,385.16,503.86
6.79,7.98,-2.6,-0.67,0.19,-0.32,288.48,362.44
5.88,8.05,-2.09,-0.71,0.52,-0.46,301.1,378.66
6.26,7.95,-1.62,-0.66,0.47,-0.47,301.1,378.66
5.17,8.08,-0.17,-0.65,-0.03,-0.51,316.49,387.15
4.07,8.58,-0.05,-0.66,-0.0,-0.39,282.26,347.05
4.11,9.02,0.18,-0.7,0.2,-0.35,303.12,396.04
3.43,8.95,1.15,-0.74,0.19,-0.39,229.92,300.0
3.32,9.13,1.56,-0.7,0.15,-0.38,171.96,194.72
2.88,8.56,2.77,-0.68,-0.04,-0.27,254.17,390.16
2.28,8.83,3.04,-0.56,0.21,-0.21,262.53,413.58
2.55,8.8,3.27,-0.49,0.1,-0.23,245.8,334.1
3.15,8.62,2.96,-0.58,0.11,-0.35,245.8,334.1
2.41,8.46,3.75,-0.64,-0.04,-0.38,219.91,288.13
0.98,8.02,4.68,-0.6,0.18,-0.51,185.4,213.53
0.25,7.72,5.86,-0.32,-0.01,-0.39,157.13,174.6
-0.39,7.7,5.91,-0.29,-0.06,-0.24,164.1,207.36
-0.09,7.46,6.04,-0.05,0.02,-0.08,151.39,191.34
-0.12,7.61,5.76,0.04,0.24,0.01,161.51,212.75
-0.14,7.76,5.4,0.04,-0.08,0.12,156.15,235.8
-0.08,7.93,4.79,0.04,0.03,0.13,156.49,237.39
0.22,7.79,5.26,0.01,0.0,0.15,156.49,237.39
0.26,8.05,5.32,0.13,0.12,0.21,150.68,203.82
0.31,8.18,4.94,0.26,0.12,0.25,136.38,179.89
0.5,8.24,4.98,0.31,-0.07,0.26,139.77,190.3
0.91,8.24,4.81,0.32,-0.13,0.28,129.47,183.3
0.93,8.27,4.48,0.37,0.01,0.27,129.47,183.3
0.96,8.57,3.95,0.43,-0.01,0.28,116.61,159.46
1.39,8.74,3.62,0.46,0.01,0.28,114.09,152.53
1.66,8.68,2.97,0.4,-0.03,0.23,114.09,152.53
1.4,8.61,3.13,0.43,0.01,0.26,141.46,213.52
2.72,8.99,1.35,0.39,-0.28,0.5,226.69,344.68
2.66,9.27,0.83,0.49,-0.15,0.67,334.0,538.66
3.02,9.09,0.53,0.51,-0.16,0.7,334.0,538.66
3.51,9.06,0.42,0.55,-0.2,0.71,334.0,538.66
3.85,9.44,-0.11,0.51,-0.27,0.69,281.15,415.6
5.57,7.89,-1.32,0.44,-0.0,0.44,339.7,472.35
5.89,7.81,-1.8,0.47,-0.04,0.41,242.45,291.9
