ax,ay,az,gx,gy,gz,mav,rms
8.33,-5.79,-0.88,-0.03,0.01,-0.01,139.67,169.47
8.34,-5.68,-0.73,-0.11,0.08,0.01,122.87,180.58
8.43,-5.71,-0.7,-0.07,0.06,-0.0,166.58,261.62
8.39,-5.6,-0.71,-0.03,0.05,-0.02,120.55,160.39
8.38,-5.52,-0.68,-0.06,-0.0,0.01,221.11,365.28
8.43,-5.63,-0.79,-0.08,0.02,0.04,284.52,410.23
8.34,-5.75,-0.69,-0.05,-0.01,0.03,231.42,290.31
8.45,-5.71,-0.59,-0.04,-0.01,0.03,191.51,235.68
8.51,-5.71,-0.76,-0.05,0.01,0.03,202.66,248.9
8.43,-5.66,-1.13,-0.08,0.06,0.02,317.44,436.72
8.79,-5.79,-0.85,-0.11,-0.01,-0.14,595.03,841.58
8.85,-5.63,-1.01,-0.17,-0.11,-0.22,700.24,1079.59
8.97,-5.58,-1.14,-0.17,-0.25,-0.33,936.87,1289.45
9.25,-4.94,-1.26,-0.08,0.03,-0.37,739.45,999.19
9.82,-4.62,-0.92,-0.09,0.15,-0.7,779.18,995.22
9.19,-3.5,-2.06,-0.16,0.01,-0.75,872.45,1105.7
10.22,-2.98,-1.3,-0.16,-0.13,-0.78,933.53,1139.87
10.04,-2.22,-1.49,-0.2,-0.03,-0.77,933.53,1139.87
10.5,-1.28,-1.22,-0.2,0.11,-0.8,948.38,1203.87
10.04,-0.6,-1.53,-0.27,0.05,-0.82,1021.12,1256.82
10.03,0.24,-0.53,-0.23,-0.05,-0.81,1021.12,1256.82
10.72,1.16,-0.91,-0.21,-0.12,-0.85,1004.63,1213.3
10.13,2.42,-0.94,-0.24,0.02,-1.01,1168.1,1355.79
9.33,2.91,-0.61,-0.12,-0.05,-0.96,1168.1,1355.79
8.87,3.85,-2.42,0.03,-0.03,-0.84,1218.19,1421.22
8.84,4.72,-0.87,0.01,0.21,-0.85,1247.04,1440.38
8.26,5.36,-2.29,0.0,0.2,-0.95,1465.17,1595.6
7.73,5.76,-2.86,0.02,0.19,-1.02,1465.17,1595.6
6.98,6.53,-0.71,-0.01,0.08,-1.01,1353.78,1492.14
6.21,7.09,-2.48,-0.02,0.14,-0.97,1342.08,1491.25
6.48,7.77,-1.24,-0.06,0.07,-1.06,1302.65,1481.34
3.72,8.55,-0.61,-0.18,-0.03,-1.07,1393.77,1542.48
2.57,9.11,-0.31,-0.15,-0.07,-0.77,1349.55,1508.4
2.57,9.5,-1.7,-0.09,-0.07,-0.69,1141.78,1344.46
2.28,8.98,-1.83,-0.11,0.09,-0.56,1141.78,1344.46
1.76,9.67,-0.9,-0.09,0.05,-0.44,1154.08,1359.05
0.74,9.71,0.14,-0.13,-0.04,0.1,1032.42,1213.42
1.02,9.6,-0.58,-0.08,-0.13,0.29,812.27,938.2
1.5,9.65,-0.87,-0.1,-0.07,0.45,697.65,819.04
2.04,9.63,-0.94,-0.05,-0.08,0.47,697.65,819.04
3.07,9.19,-1.28,0.07,0.25,0.69,486.06,566.9
3.31,9.07,-1.16,0.12,0.41,0.75,493.32,656.56
4.49,8.83,-1.02,0.13,0.21,0.75,680.21,885.38
4.69,8.3,-1.43,0.11,0.12,0.73,680.21,885.38
5.25,8.22,-1.52,0.16,0.16,0.75,664.63,919.06
6.2,7.53,-1.73,0.13,0.3,0.88,674.99,895.48
7.05,6.67,-2.1,-0.04,0.12,0.96,745.32,1009.35
7.44,6.12,-1.61,-0.12,0.12,1.02,830.85,1114.26
8.26,5.29,-1.24,-0.18,0.15,1.12,933.43,1184.86
8.83,4.39,-1.13,-0.2,0.11,1.05,913.08,1196.2
9.54,3.29,-1.21,-0.2,0.09,0.95,1080.67,1295.46
9.87,2.83,-1.01,-0.17,0.05,0.9,1080.67,1295.46
10.11,1.7,-0.11,0.04,0.06,1.02,1114.64,1360.73
10.35,0.66,-1.09,0.06,-0.1,0.94,958.13,1183.86
10.5,0.06,-1.06,0.05,-0.09,0.94,957.79,1159.78
10.2,-1.22,-0.85,0.04,0.02,0.93,977.36,1189.04
10.48,-2.12,-0.81,0.07,-0.16,0.79,817.81,1056.49
10.21,-2.41,-1.25,0.05,-0.06,0.7,794.09,1028.83
9.86,-3.11,-1.19,0.08,-0.05,0.69,683.25,847.7
9.56,-3.87,-1.81,0.1,0.03,0.66,701.1,899.93
9.33,-4.41,-1.47,-0.12,0.16,0.62,609.66,688.95
9.07,-4.98,-1.29,-0.18,0.12,0.56,692.27,915.03
9.07,-5.28,-1.37,-0.13,0.15,0.24,508.59,602.82
8.91,-5.24,-0.86,-0.11,0.17,0.2,424.74,498.97
8.32,-5.4,-0.93,-0.06,0.22,0.28,424.49,522.04
8.27,-5.82,-0.78,-0.09,0.07,0.36,386.66,458.69
8.65,-5.97,-0.96,-0.08,-0.01,0.16,446.14,633.46
8.68,-6.22,-1.19,-0.03,0.05,-0.03,410.28,567.35
8.03,-5.8,-0.96,0.04,0.09,-0.07,343.02,398.29
7.96,-5.74,-0.93,-0.05,0.01,0.11,263.09,296.42
8.34,-6.01,-1.17,-0.11,0.04,0.16,319.8,434.07
8.38,-6.11,-0.97,-0.14,0.15,0.03,270.25,340.88
8.23,-5.77,-0.71,-0.14,0.16,-0.03,287.44,383.04
