ax,ay,az,gx,gy,gz,mav,rms
0.15,6.4,2.04,-0.28,-0.73,3.0,701.55,965.15
3.22,7.33,2.18,-0.18,0.19,2.31,843.7,1120.72
4.65,8.03,3.11,0.08,-0.4,1.72,726.39,1014.78
8.73,8.1,1.75,0.03,-0.29,0.74,643.99,802.93
3.92,8.22,2.26,-0.15,0.27,-0.29,715.07,894.71
3.34,8.34,2.73,-0.1,-0.08,0.1,654.74,807.77
5.18,8.33,2.26,-0.05,-0.03,0.0,757.79,939.04
5.42,8.55,2.04,-0.2,-0.25,-0.36,816.88,993.74
7.24,8.31,2.32,-0.41,0.51,-1.3,857.08,1076.62
4.49,7.71,2.81,-0.25,0.12,-2.42,941.61,1277.74
-2.02,7.18,3.23,-0.17,-0.16,-2.79,945.98,1244.47
-4.83,6.89,3.95,-0.16,0.03,-2.76,973.04,1196.76
-4.02,4.73,2.8,-0.16,0.06,-2.74,932.49,1036.08
-5.48,2.1,1.73,0.06,1.12,-2.9,794.84,866.04
-8.16,-0.05,2.7,0.14,0.24,-2.63,683.97,742.1
-10.2,-1.02,3.45,0.03,-0.3,-2.05,576.04,633.31
-12.64,-0.27,2.76,-0.04,0.21,-0.58,585.45,641.01
-10.54,-1.04,2.89,-0.09,0.16,-0.11,590.82,689.77
-9.02,-0.92,2.6,-0.12,0.0,0.13,589.44,662.8
-8.39,-1.01,2.72,-0.07,0.17,0.06,538.76,589.84
-11.45,-0.73,2.31,-0.12,0.18,0.45,482.32,544.69
-12.73,-0.65,2.99,-0.35,-0.12,2.01,570.48,680.2
-12.86,0.17,3.27,-0.25,0.5,3.14,563.47,681.15
