ax,ay,az,gx,gy,gz,mav,rms
11.62,-2.01,-0.19,-0.02,-0.15,-1.09,398.23,495.02
10.81,-0.98,-0.36,-0.21,0.02,-1.35,698.41,956.25
10.58,0.5,-0.83,-0.42,-0.36,-1.43,1323.24,1715.24
9.99,3.05,-1.92,-0.51,-0.35,-1.85,996.41,1291.98
8.41,4.13,-0.85,-0.46,0.04,-1.77,887.05,1170.09
8.05,5.41,-1.09,-0.48,-0.21,-1.69,841.37,997.6
6.52,6.29,-0.89,-0.44,0.05,-1.77,992.0,1263.35
5.83,6.81,-0.39,-0.47,0.13,-1.79,860.91,1052.26
3.64,7.94,-0.68,-0.48,0.1,-1.53,854.2,975.8
3.05,9.02,0.38,-0.36,-0.13,-1.1,854.2,975.8
1.24,9.43,1.37,-0.19,-0.02,-0.59,737.6,954.12
1.17,9.56,0.65,-0.07,0.27,-0.31,586.83,645.77
0.6,9.5,0.47,0.01,0.44,0.1,485.05,517.28
0.88,9.25,0.55,0.04,0.49,0.55,334.99,354.66
1.46,9.22,0.41,0.08,0.41,1.0,253.81,290.5
2.41,9.05,0.18,0.13,0.21,1.3,309.83,555.09
3.73,8.43,0.23,0.21,-0.05,1.51,384.2,584.25
6.0,7.37,-0.9,0.32,-0.18,1.78,298.9,422.73
7.96,5.89,-0.91,0.28,0.09,1.74,394.77,522.64
9.04,4.85,-1.47,0.17,0.24,1.56,376.21,532.01
8.95,3.85,-1.13,0.09,0.43,1.58,341.18,429.64
9.9,2.13,-0.39,-0.06,0.37,1.68,215.59,253.66
11.21,0.01,0.32,-0.16,0.15,1.41,423.35,569.17
11.1,-1.03,0.36,-0.14,0.14,1.0,366.82,550.21
10.65,-1.55,0.99,-0.01,-0.1,0.6,209.66,238.41
10.48,-1.99,0.37,0.22,-0.07,0.36,242.58,342.13
9.82,-2.0,-0.13,0.15,0.03,0.33,261.12,334.98
9.96,-2.3,-0.65,-0.05,-0.66,0.21,285.61,392.73
10.8,-2.3,-1.84,-0.21,-0.46,0.18,257.36,336.97
10.02,-2.47,-1.68,-0.14,0.34,0.06,203.68,246.44
9.67,-2.42,-0.8,-0.13,0.55,0.08,152.28,193.73
9.7,-2.57,-0.29,-0.14,0.1,0.11,165.51,208.67
10.09,-2.55,-0.37,-0.1,-0.11,0.06,213.69,313.27
9.88,-2.71,-0.64,0.01,0.01,-0.02,254.61,354.31
9.72,-2.56,-0.58,0.01,-0.09,-0.01,206.64,257.01
9.87,-2.5,-1.0,-0.03,-0.04,0.0,166.63,218.93
9.91,-2.44,-1.06,-0.02,0.04,0.02,160.51,198.54
9.84,-2.53,-0.85,-0.01,0.11,0.04,281.15,462.27
9.85,-2.54,-0.85,-0.15,0.08,0.1,174.35,222.69
