ax,ay,az,gx,gy,gz,mav,rms
9.81,4.43,-0.67,-0.29,-0.1,2.83,1098.03,1252.88
11.58,2.32,0.75,-0.72,0.23,2.15,1093.59,1235.48
11.67,0.85,2.31,-0.58,0.6,1.47,821.46,939.12
11.67,0.01,3.81,-0.12,1.27,0.56,605.41,709.66
10.65,0.74,2.36,0.14,-0.33,-0.11,563.41,654.81
9.61,0.73,2.09,0.01,-0.25,0.07,597.63,752.98
9.53,0.9,2.38,-0.01,0.12,-0.01,590.38,760.11
9.24,0.72,2.48,-0.07,0.14,-0.04,595.52,735.19
10.29,0.7,2.81,-0.01,0.17,-0.08,584.73,645.96
11.25,0.92,2.81,0.14,-0.19,-0.44,493.58,578.7
13.05,1.34,1.87,0.14,-0.13,-1.45,810.83,1112.5
12.32,2.94,1.55,-0.03,-0.35,-2.4,786.32,1069.0
8.78,4.71,0.06,-0.43,-1.88,-3.25,1005.19,1322.73
6.54,6.52,-0.89,-1.22,-1.94,-3.34,1109.76,1390.97
1.96,6.98,0.31,-1.77,-2.22,-2.78,1622.9,1789.95
-2.75,7.03,7.14,-0.54,-0.46,-0.56,1137.57,1277.71
-1.33,7.18,7.12,-0.09,0.38,0.03,1018.48,1121.33
-2.41,7.46,6.23,0.1,0.05,0.24,746.43,835.35
-4.22,6.77,7.06,0.72,1.85,1.1,584.89,631.03
0.01,7.11,4.8,1.26,3.67,2.08,375.36,422.29
0.13,8.04,2.6,1.11,3.4,2.96,631.03,1118.22
-1.92,8.1,1.99,0.54,3.04,3.47,1601.27,1952.97
6.99,7.53,2.07,-0.16,0.47,3.0,1288.07,1558.82
4.34,5.19,3.51,-0.22,0.17,2.2,806.26,925.3
