ax,ay,az,gx,gy,gz,mav,rms
8.79,7.75,-0.69,-0.04,-0.03,0.3,1297.9,1624.32
6.14,7.63,0.32,-0.16,-0.16,0.05,1247.21,1525.84
6.77,7.69,0.15,-0.08,-0.14,0.02,1028.27,1162.45
6.13,7.65,0.43,-0.11,-0.03,-0.04,1165.52,1376.94
7.09,7.75,0.05,-0.05,0.02,-0.19,1292.61,1461.35
8.42,8.08,-0.19,-0.21,-0.26,-0.58,1281.92,1464.42
7.57,8.2,-0.24,-0.4,-0.14,-1.28,1238.71,1387.63
6.07,8.41,-0.14,-0.34,0.43,-1.89,1054.97,1176.31
2.75,8.45,0.58,-0.27,-0.01,-2.23,880.31,1022.42
-2.75,8.39,1.81,-0.12,0.23,-2.17,874.51,997.13
-3.89,7.87,1.51,-0.05,0.33,-1.84,861.58,969.94
-4.28,7.51,1.11,-0.01,0.26,-1.8,720.28,827.64
-4.79,6.18,1.22,-0.14,-0.15,-2.08,644.26,721.84
-6.54,3.84,1.62,-0.06,0.26,-2.62,474.82,553.03
-9.24,-0.62,1.24,0.13,0.32,-3.09,464.83,510.54
-13.31,-0.39,-0.05,0.19,0.67,-1.75,356.59,389.95
-10.99,-0.23,0.25,-0.2,-0.88,-0.07,497.8,768.64
-9.95,-0.14,0.96,-0.08,-0.08,0.06,411.98,590.41
-8.9,-0.28,0.88,-0.02,0.18,0.09,0.0,307.7
-10.42,-0.06,0.63,-0.05,0.48,0.2,0.0,0.0
-12.59,0.33,0.98,-0.13,0.36,1.28,0.0,0.0
-12.94,1.1,0.57,-0.15,0.44,2.6,0.0,0.0
-8.76,2.2,0.47,-0.14,0.11,3.84,0.0,0.0
-4.41,5.48,0.1,-0.35,1.01,3.7,301.46,383.85
-1.59,6.16,0.4,-0.21,0.46,3.45,687.45,907.21
1.44,6.82,0.9,-0.07,-0.42,3.26,1432.87,1835.72
