ax,ay,az,gx,gy,gz,mav,rms
8.15,-5.83,-0.65,-0.09,0.07,0.05,243.02,291.75
8.17,-5.94,-0.31,-0.09,0.07,0.05,199.83,239.68
8.12,-6.02,-0.46,-0.12,0.09,0.04,238.9,318.56
8.15,-6.01,-0.55,-0.1,0.0,-0.01,350.29,480.37
8.42,-6.03,-0.56,-0.04,-0.05,-0.05,296.49,343.32
8.09,-5.87,-0.81,-0.01,-0.05,-0.08,649.4,813.19
8.43,-5.81,-0.86,-0.03,-0.03,-0.06,792.01,964.74
8.94,-5.71,-0.65,-0.09,0.18,-0.22,752.85,889.19
7.6,-4.9,-0.28,0.01,0.15,0.05,544.47,634.35
8.22,-5.2,-0.14,0.04,-0.24,0.39,544.47,634.35
11.71,-6.35,-1.31,-0.6,0.55,-0.44,831.79,1006.23
10.06,-5.56,-0.14,-0.33,1.0,-1.35,809.78,927.31
8.42,-4.09,0.93,0.08,0.77,-1.28,815.13,915.08
8.93,-2.72,0.88,0.08,-0.14,-0.99,815.13,915.08
9.41,-2.14,-0.33,0.0,-0.27,-0.81,801.56,903.43
9.71,-1.5,-0.47,-0.09,0.37,-0.82,822.03,911.96
10.3,-1.09,1.23,-0.07,0.51,-0.85,817.91,908.17
10.31,-0.16,1.79,-0.05,0.44,-0.92,834.83,921.1
10.11,1.58,1.16,-0.14,0.12,-1.12,771.18,882.21
9.41,3.22,1.53,-0.17,-0.13,-1.3,877.92,963.45
8.66,3.74,0.58,-0.19,0.08,-1.29,877.92,963.45
8.26,4.93,1.5,-0.2,-0.1,-1.25,795.31,893.45
7.04,5.68,0.73,-0.39,-0.13,-1.12,795.31,893.45
7.42,6.54,1.28,-0.32,-0.37,-1.12,809.84,927.02
6.21,7.23,1.69,-0.2,0.03,-1.03,804.11,906.48
4.88,8.03,1.91,-0.13,0.28,-0.73,891.88,975.07
4.17,9.0,2.05,0.09,-0.24,-0.46,777.82,862.65
3.18,8.53,1.41,0.04,0.02,-0.27,814.75,908.99
3.83,8.79,1.83,0.19,0.03,-0.11,820.16,912.91
3.78,9.0,0.97,0.14,0.21,0.04,772.04,871.02
3.65,9.19,0.16,-0.0,-0.33,0.09,631.16,741.5
4.04,8.97,-0.04,-0.02,-0.11,0.08,538.95,633.48
4.12,8.95,0.16,-0.07,0.05,0.06,655.0,803.49
4.7,8.81,0.35,-0.12,-0.02,0.07,651.26,774.51
4.26,8.72,0.19,-0.19,0.14,0.17,621.76,753.3
3.62,8.68,0.58,-0.1,0.5,0.31,670.59,773.46
4.2,8.65,0.95,-0.21,0.35,0.51,729.61,852.29
4.44,8.47,0.97,-0.22,0.05,0.59,583.32,713.56
5.31,8.05,1.42,-0.28,0.11,0.81,551.59,647.83
6.19,7.54,1.99,-0.31,0.08,0.68,562.33,710.86
6.48,6.7,1.89,-0.18,-0.05,0.8,646.49,807.37
6.93,6.46,1.96,-0.16,0.15,0.86,646.49,807.37
7.79,5.72,2.22,-0.17,0.24,0.9,516.09,654.54
8.63,5.06,2.52,-0.15,-0.15,0.83,588.1,696.21
8.5,4.0,2.45,-0.18,-0.07,0.73,666.5,805.67
8.23,3.6,2.03,0.01,0.09,0.93,703.09,855.05
8.31,3.27,2.33,0.01,0.17,1.02,509.6,585.46
9.52,1.89,1.75,0.08,-0.25,1.36,583.01,697.38
10.18,-0.58,1.81,-0.05,-0.31,1.36,570.36,700.67
10.12,-1.41,1.22,0.1,-0.47,1.27,570.36,700.67
9.98,-2.64,1.21,0.18,-0.38,1.2,614.95,770.54
9.77,-3.52,0.37,0.27,-0.13,1.09,453.2,546.76
9.34,-4.61,0.18,0.23,-0.32,1.0,453.2,546.76
9.17,-5.24,0.13,0.06,-0.32,0.76,426.23,494.71
9.09,-5.58,-0.22,-0.07,-0.25,0.56,426.23,494.71
9.17,-5.8,-0.27,-0.11,-0.09,0.28,401.8,528.53
8.27,-5.45,0.31,-0.1,0.57,0.08,553.08,731.56
7.63,-5.68,0.75,0.09,0.64,0.25,553.08,731.56
8.42,-6.17,0.69,0.12,-0.35,0.27,553.21,685.56
8.15,-6.05,-0.17,-0.07,-0.03,-0.02,409.97,497.68
7.9,-6.09,0.17,-0.06,0.28,-0.03,409.97,497.68
8.03,-6.3,1.0,-0.1,0.18,0.04,428.31,513.8
8.08,-6.21,0.95,-0.02,0.11,-0.03,367.27,412.84
7.78,-5.98,0.8,0.07,0.08,-0.02,308.07,341.03
7.95,-6.0,1.44,-0.01,0.03,0.03,267.38,305.23
