ax,ay,az,gx,gy,gz,mav,rms
9.22,3.24,-1.13,0.65,0.51,3.2,1194.54,1370.49
11.32,0.13,-1.4,0.72,0.35,2.65,856.13,995.98
12.02,-1.18,-1.79,0.58,0.1,1.88,869.22,973.43
13.06,-1.41,-2.21,0.14,0.03,0.61,608.4,691.02
10.94,-1.26,-1.25,-0.1,0.01,-0.14,548.16,693.57
9.31,-0.97,-0.76,-0.12,0.12,-0.06,481.94,551.6
10.02,-1.17,-0.98,-0.08,0.15,0.08,539.21,679.51
10.38,-1.26,-1.2,-0.1,0.07,-0.07,872.73,1184.18
10.18,-0.8,-1.34,-0.13,0.12,-0.06,909.77,1168.99
10.77,-0.99,-0.87,-0.07,-0.09,-0.03,734.19,899.52
13.58,-1.03,-1.96,-0.16,0.31,-0.73,1053.78,1327.56
13.03,-0.07,-1.97,-0.37,0.16,-2.06,1040.44,1306.58
10.35,1.63,-1.28,-0.91,-0.51,-2.82,1108.0,1334.46
7.21,3.17,-1.28,-1.24,-0.43,-3.07,1323.13,1568.1
5.4,6.04,-0.34,-1.04,-0.4,-2.87,1236.99,1430.65
1.5,7.59,0.92,-1.01,-0.71,-2.47,1398.76,1569.43
1.5,7.59,0.92,-1.01,-0.71,-2.47,1283.25,1435.48
-0.38,8.17,1.64,-1.0,-0.29,-2.1,1389.27,1532.11
-1.92,8.5,2.87,-0.5,-0.09,-1.19,1397.83,1558.39
-2.42,9.13,2.89,-0.14,-0.01,-0.27,1300.28,1452.82
-1.43,9.38,2.37,-0.09,-0.09,0.06,1244.19,1394.28
-1.86,9.17,2.45,0.03,-0.02,0.27,1211.35,1378.62
-3.31,8.41,2.92,0.45,0.65,0.86,1116.97,1326.29
-1.39,8.72,1.06,0.73,0.33,2.09,1270.89,1417.89
-1.56,8.16,2.14,0.77,0.32,2.56,1049.12,1256.81
