ax,ay,az,gx,gy,gz,mav,rms
2.12,4.3,4.24,-0.69,-1.58,-0.87,916.55,1225.46
1.14,3.25,5.12,-0.41,-0.4,-0.97,647.17,745.06
0.13,5.01,5.68,-0.42,-0.07,-0.35,578.33,665.25
1.87,4.26,4.82,0.36,0.92,0.68,844.18,1206.38
0.52,4.01,3.83,0.89,2.49,1.42,1544.37,1859.41
0.65,5.52,3.37,0.62,3.56,0.94,882.65,985.9
-1.35,8.94,3.01,0.38,3.01,-0.21,847.92,1037.94
-6.21,10.75,1.28,0.13,3.05,-0.74,1573.19,1834.26
-5.15,11.75,2.73,1.18,1.26,-0.76,1587.95,1697.34
-2.08,13.55,-1.2,1.22,0.37,-0.54,1290.03,1453.77
-3.85,11.43,-0.51,-0.23,-0.29,-0.29,1125.19,1214.76
-4.28,8.66,-1.1,-0.35,0.11,0.28,718.5,814.15
-3.49,7.82,-0.06,-0.3,-0.0,0.2,603.64,693.45
-4.35,8.52,0.37,-0.1,-0.07,0.05,604.94,726.85
-4.24,8.9,0.65,-0.16,-0.13,0.06,1395.68,1725.59
-5.56,12.25,1.73,-0.14,-1.1,0.62,1001.89,1237.9
-1.37,14.85,1.54,-0.65,-2.32,1.51,806.17,984.29
-1.29,12.23,2.81,-0.71,-2.7,0.97,726.3,810.06
