ax,ay,az,gx,gy,gz,mav,rms
8.75,5.14,-1.62,1.09,-0.01,3.02,960.67,1092.84
8.38,1.69,-1.03,0.99,0.41,2.77,938.82,1107.58
11.82,0.03,-2.05,0.68,-0.16,2.51,789.08,883.23
14.4,-0.71,-2.08,0.05,0.33,0.8,601.4,655.98
10.82,0.03,-0.96,-0.22,0.11,-0.28,442.76,480.04
9.62,0.47,-0.96,-0.06,-0.12,-0.06,306.69,362.29
9.84,0.39,-1.0,-0.0,0.12,0.07,285.98,341.45
10.01,0.12,-1.1,-0.04,-0.07,0.03,236.81,287.52
10.12,0.35,-0.91,-0.12,0.01,-0.05,279.88,330.39
9.91,0.4,-0.68,-0.11,0.07,0.04,315.55,434.85
10.79,0.22,-0.99,-0.12,0.0,-0.03,380.33,555.71
10.46,0.41,-0.71,-0.15,-0.15,-0.19,720.33,1155.54
13.09,0.57,-1.38,-0.21,-0.11,-0.71,763.87,1158.04
13.66,1.47,-2.37,-0.43,0.22,-1.96,938.65,1246.34
9.94,3.22,-2.69,-0.91,-0.25,-2.71,1379.43,1703.68
6.75,4.25,0.19,-1.14,-0.1,-2.95,1321.35,1553.94
4.02,5.83,1.24,-0.99,-0.56,-2.84,896.25,1048.77
1.53,8.73,1.16,-0.73,-0.5,-2.38,902.73,1125.42
-2.82,8.42,1.79,-0.63,0.01,-1.87,1398.01,1670.91
-1.81,10.24,1.74,-0.46,0.08,-0.87,1397.11,1550.06
-3.1,8.9,2.73,-0.19,-0.15,0.12,1250.05,1407.77
-2.27,9.61,2.41,0.1,0.38,0.51,1274.73,1453.15
-2.55,9.0,2.69,0.18,0.43,0.67,1356.68,1538.92
0.0,8.36,1.54,0.6,0.57,1.76,1251.73,1402.29
1.48,7.66,1.25,0.62,0.1,2.44,984.57,1153.95
