ax,ay,az,gx,gy,gz,mav,rms
5.81,5.76,-1.54,-1.66,-1.23,-2.48,990.59,1270.91
3.25,7.56,0.71,-1.47,-0.84,-1.97,1148.44,1446.78
2.09,7.64,0.9,-1.14,-0.33,-1.64,1291.31,1516.37
-0.61,7.58,2.76,-1.11,-0.76,-1.22,1447.57,1639.37
0.14,9.01,3.73,-0.64,-0.05,-0.5,1359.71,1544.28
-0.93,8.73,4.6,-0.13,0.06,0.07,1279.21,1421.29
-0.59,9.15,3.8,-0.02,0.29,0.19,1316.09,1462.48
-0.42,8.91,3.76,0.22,0.23,0.49,1351.04,1517.86
0.84,7.86,3.12,0.65,0.5,0.8,1345.56,1501.4
2.99,8.5,1.41,1.17,0.12,1.68,1264.07,1418.66
3.46,6.95,1.23,1.36,0.51,2.23,1100.66,1237.07
6.63,6.73,-0.48,1.53,0.81,2.55,993.53,1160.78
9.53,4.97,-2.24,1.17,0.23,2.26,888.89,1004.84
10.35,3.42,-2.39,0.85,-0.03,1.66,633.23,725.78
9.56,2.19,-2.59,0.49,0.24,1.25,637.34,738.95
10.87,1.29,-2.91,0.26,-0.02,1.17,439.18,490.3
12.38,0.66,-2.52,-0.01,-0.01,0.54,367.23,406.33
11.33,0.73,-2.01,-0.1,0.03,-0.16,282.5,375.39
9.73,1.19,-1.82,-0.04,0.03,-0.14,325.36,445.54
10.04,0.94,-2.12,-0.05,-0.04,0.01,381.38,608.97
10.88,1.15,-2.62,-0.17,0.07,-0.2,707.31,1106.02
10.66,1.66,-2.54,-0.22,0.19,-0.42,640.49,912.91
10.99,2.2,-2.35,-0.25,0.21,-0.65,509.21,710.75
11.79,2.87,-2.86,-0.51,0.15,-1.22,613.81,800.72
11.42,4.49,-2.8,-0.96,-0.03,-1.93,1744.28,2018.19
7.97,5.32,-1.21,-1.32,-0.53,-2.46,1204.77,1453.13
4.91,5.7,-0.45,-1.56,-0.15,-2.74,1128.92,1309.74
2.11,6.89,1.47,-1.27,-0.27,-2.12,1112.69,1356.97
1.24,8.71,2.19,-1.07,-0.48,-1.61,1282.56,1495.01
0.07,8.16,3.08,-0.97,-0.62,-1.21,1437.74,1592.07
-1.02,8.5,3.29,-0.6,-0.42,-0.55,1362.89,1496.77
-1.09,8.69,4.18,-0.34,-0.15,-0.17,1215.37,1405.67
-0.85,8.79,3.68,-0.14,0.07,0.01,1258.87,1412.27
-0.36,8.85,3.36,-0.06,0.23,0.05,1246.17,1398.44
-1.21,8.59,3.99,0.25,0.08,0.58,1273.18,1437.6
-1.53,7.53,3.84,0.92,0.1,1.76,1344.14,1483.52
0.08,8.65,2.64,1.28,0.11,2.36,1189.41,1358.96
2.56,6.89,1.86,1.29,1.17,2.41,1006.47,1165.68
7.19,5.52,0.17,1.43,0.84,2.37,1194.63,1348.88
9.06,4.46,-2.14,1.19,-0.14,2.12,1194.51,1348.02
10.25,3.74,-2.63,0.67,0.64,1.58,890.47,1047.02
10.95,3.08,-1.92,0.23,0.34,0.98,834.18,954.73
12.04,2.33,-2.03,0.07,-0.22,0.48,831.3,1022.53
10.4,2.01,-1.33,-0.02,-0.03,-0.08,668.86,810.17
9.22,2.58,-1.67,-0.1,0.02,-0.16,515.01,606.03
9.24,2.53,-1.94,-0.03,0.01,0.03,396.71,487.31
9.92,2.35,-1.63,-0.1,0.06,0.01,341.79,414.24
9.85,2.49,-1.91,-0.18,0.05,-0.05,415.05,606.38
10.06,2.72,-2.26,-0.15,0.12,-0.09,499.44,820.44
11.77,2.83,-2.7,-0.26,0.21,-0.58,583.89,855.18
11.72,3.65,-3.68,-0.73,0.03,-1.46,706.16,976.46
10.23,4.4,-1.91,-1.17,-0.17,-2.3,1425.77,1754.43
6.22,5.9,-0.29,-1.13,0.33,-2.56,1152.61,1432.71
3.37,7.02,1.27,-1.03,-0.01,-2.45,1059.41,1248.7
0.77,7.36,2.41,-1.07,-0.18,-2.38,1227.9,1448.9
-0.32,8.78,1.37,-0.78,-0.1,-1.59,1283.05,1481.01
-2.14,8.5,2.81,-0.53,0.02,-0.98,1447.2,1599.78
-1.98,9.16,2.97,-0.26,-0.07,-0.33,1376.72,1543.31
-2.24,8.9,3.12,-0.13,-0.16,0.06,1305.89,1462.17
-2.07,8.96,3.14,-0.06,0.15,0.11,1358.95,1508.55
-2.1,8.65,3.32,-0.03,0.12,0.16,1305.57,1458.99
-3.03,8.4,3.73,0.33,0.05,0.95,1329.58,1473.84
-1.96,8.32,3.51,0.91,0.03,1.98,1287.63,1428.62
0.65,7.23,1.8,1.32,0.23,2.73,1244.54,1386.08
4.38,6.15,-0.22,1.22,0.35,3.16,1215.09,1346.06
9.62,5.22,-1.84,1.09,0.34,2.91,1034.88,1197.72
11.27,3.05,-1.17,0.68,0.4,1.78,981.26,1199.0
10.72,2.49,-1.44,0.55,-0.1,1.01,866.73,994.52
10.25,2.19,-1.81,0.22,0.02,0.56,849.59,1031.76
10.25,2.19,-1.81,0.22,0.02,0.56,749.92,894.49
10.75,2.4,-2.18,0.01,-0.02,0.26,650.17,743.82
10.47,2.17,-1.58,-0.13,0.27,-0.12,532.26,663.45
9.52,2.15,-1.2,-0.12,0.22,-0.05,482.17,543.72
10.47,2.12,-1.42,-0.1,0.07,0.06,381.69,513.34
10.1,2.09,-1.45,-0.07,0.05,0.04,314.1,358.65
10.1,2.33,-1.54,-0.06,0.04,0.03,278.87,353.1
9.93,2.31,-1.54,-0.08,0.13,-0.0,290.62,369.44
10.65,2.28,-1.68,-0.09,-0.05,-0.1,946.55,1419.86
11.24,2.42,-1.84,-0.22,0.07,-0.53,587.37,902.39
11.89,3.48,-2.87,-0.69,-0.29,-1.4,1396.94,1760.12
10.06,4.11,-2.04,-1.26,-0.08,-2.2,1093.17,1396.79
7.25,6.05,-0.82,-1.39,-0.24,-2.46,998.36,1219.59
3.33,6.33,1.94,-0.88,0.0,-2.2,1171.74,1427.18
1.39,7.69,1.36,-0.71,-0.42,-2.22,1413.25,1617.24
0.28,8.32,1.55,-0.97,-0.29,-2.08,1316.65,1498.84
-2.35,7.66,3.03,-0.68,-0.21,-1.59,1313.85,1482.83
-3.24,8.5,3.64,-0.38,-0.15,-0.64,1392.91,1535.08
-3.94,8.84,3.79,-0.16,-0.07,-0.03,1153.4,1325.21
-2.72,8.86,2.91,-0.0,-0.04,0.23,1195.36,1362.9
-1.6,8.39,3.36,-0.04,0.12,0.22,1256.18,1402.84
-2.83,8.2,3.85,0.37,0.33,0.92,1319.73,1473.81
-1.51,7.75,3.26,0.99,0.45,1.87,1400.12,1513.55
-0.06,8.65,1.99,1.36,-0.02,2.55,1243.64,1388.35
3.6,7.5,0.11,1.34,1.17,2.57,1300.84,1435.29
6.42,6.56,-1.41,1.07,0.38,2.48,1133.78,1300.06
8.24,4.08,-1.88,0.86,0.31,2.42,1097.33,1301.84
10.7,2.25,-2.11,0.59,0.23,2.09,1059.42,1164.32
10.45,0.56,-1.37,0.46,-0.02,1.48,717.27,797.74
10.82,0.1,-1.92,0.29,-0.35,1.13,830.98,1028.3
11.56,-0.49,-2.43,-0.01,0.37,0.34,538.88,605.99
10.19,-0.12,-1.81,-0.07,0.06,-0.09,406.29,472.76
9.97,0.03,-2.2,-0.1,-0.08,-0.02,428.77,533.62
10.17,-0.01,-2.22,-0.13,-0.08,0.0,359.74,417.42
10.09,-0.14,-1.77,-0.12,0.01,0.01,337.91,422.62
10.24,0.15,-1.94,-0.12,0.04,0.02,294.93,349.34
11.07,0.09,-2.04,-0.14,0.02,-0.14,598.69,877.86
11.52,0.52,-1.99,-0.25,0.09,-0.69,550.07,745.94
12.22,1.21,-2.6,-0.52,-0.04,-1.34,556.27,739.71
10.71,2.29,-2.42,-0.93,-0.05,-2.04,666.5,844.56
9.0,3.96,-2.09,-1.12,-0.51,-2.45,1291.68,1670.97
6.74,5.63,-1.09,-1.14,-0.5,-2.37,1563.96,1826.04
4.48,7.23,-0.7,-1.38,-0.64,-2.27,1182.88,1359.77
2.25,7.89,1.49,-1.19,0.11,-1.7,1134.84,1361.57
2.63,10.3,1.71,-1.07,-0.44,-1.69,1398.32,1579.98
-0.79,8.51,3.1,-0.6,-0.51,-1.06,1370.75,1548.46
-1.79,9.24,2.94,-0.14,0.16,-0.28,1320.13,1468.12
-1.55,9.15,2.55,0.0,0.21,-0.03,1339.52,1513.49
-1.82,8.88,2.74,-0.12,0.03,0.07,1169.47,1312.17
-2.18,8.83,3.33,0.1,0.15,0.4,1325.88,1484.29
-1.59,8.43,3.4,0.82,0.23,1.57,1289.59,1456.86
0.3,7.91,1.86,1.42,0.24,2.7,1426.32,1557.41
4.54,6.91,0.09,1.27,0.55,2.82,1319.05,1479.12
7.42,6.22,-1.14,0.99,0.78,2.46,1118.05,1270.7
9.7,4.63,-1.96,0.69,-0.01,1.93,1063.33,1200.14
9.67,3.27,-1.95,0.47,0.12,1.54,1018.31,1151.13
10.83,2.51,-2.61,0.47,0.23,1.26,822.46,891.55
10.97,1.02,-1.57,0.22,-0.28,1.08,639.51,677.14
11.43,0.49,-2.35,0.13,0.1,0.64,465.03,550.1
