ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
6.42,6.06,0.68,-0.97,-0.52,-3.34,731.85,1025.47,0,2,1
2.50,6.38,1.78,-1.24,-0.30,-3.45,825.10,1107.22,0,2,1
-0.92,7.84,2.84,-1.35,-0.68,-2.96,807.90,1139.18,0,2,1
-5.49,6.29,6.61,-0.85,-0.56,-1.53,1089.50,1399.03,0,2,1
-3.75,7.44,5.83,-0.17,0.00,-0.01,893.90,1146.74,0,2,1
-3.67,7.32,5.02,-0.02,-0.14,0.21,921.63,1123.96,0,2,1
-5.16,6.37,6.02,0.44,0.58,1.43,534.60,611.00,0,2,1
-3.42,5.63,4.96,0.89,1.41,3.28,396.40,460.44,0,2,1
1.33,6.09,2.96,0.94,0.54,4.15,370.22,428.47,0,2,1
7.38,4.77,1.88,0.64,0.16,3.95,354.85,453.84,0,2,1
12.75,2.68,0.76,0.40,0.08,2.94,477.21,689.01,0,2,1
10.52,1.87,1.59,0.21,-0.24,1.86,347.13,394.03,0,2,1
8.67,1.41,1.33,0.20,-0.15,1.45,0.00,0.00,0,2,1
13.00,0.35,1.41,0.06,0.15,1.13,0.00,0.00,0,2,1
8.76,0.73,1.88,-0.09,0.66,-0.26,0.00,0.00,0,2,1
11.49,0.25,1.18,-0.13,0.04,0.09,0.00,0.00,0,2,1
9.94,0.36,1.47,-0.04,-0.07,0.02,0.00,0.00,0,2,1
9.79,0.28,1.64,-0.10,0.16,-0.02,0.00,0.00,0,2,1
9.90,0.48,1.53,-0.08,0.20,-0.02,0.00,0.00,0,2,1
9.84,0.43,1.81,-0.09,0.17,0.01,0.00,0.00,0,2,1
9.86,0.41,2.01,-0.08,0.13,-0.03,318.18,597.80,0,2,1
11.33,0.53,2.08,-0.07,-0.06,-0.51,420.66,648.46,0,2,1
12.07,1.49,1.94,-0.13,-0.24,-1.38,708.43,1105.20,0,2,1
13.32,2.87,0.28,-0.35,-0.14,-2.24,800.02,1042.34,0,2,1
8.34,3.03,0.69,-0.85,-0.07,-3.43,743.02,981.60,0,2,1
5.51,4.11,2.09,-0.83,-0.71,-3.42,893.86,1152.25,0,2,1
3.77,5.11,0.73,-1.55,-1.02,-3.96,783.76,1021.15,0,2,1
0.37,6.51,3.05,-1.64,-1.03,-3.40,1034.98,1352.57,0,2,1
0.34,8.01,5.44,-0.57,-0.58,-1.10,1123.03,1398.06,0,2,1
-3.45,7.24,5.44,-0.11,0.37,-0.12,1153.75,1374.62,0,2,1
-5.73,7.08,5.69,0.34,1.13,1.06,667.57,758.42,0,2,1
-2.83,7.08,5.63,0.96,0.79,2.55,542.83,702.71,0,2,1
-0.78,7.01,2.93,0.97,0.09,3.38,445.93,544.80,0,2,1
4.31,6.88,1.72,0.68,1.26,3.65,423.11,490.88,0,2,1
10.16,5.16,0.11,0.37,-0.46,3.01,382.11,460.91,0,2,1
9.55,3.17,0.38,0.15,0.21,2.21,373.04,451.19,0,2,1
10.15,2.03,1.16,-0.00,-0.14,1.73,0.00,0.00,0,2,1
9.94,1.93,0.08,0.25,-0.68,1.79,0.00,0.00,0,2,1
12.40,-0.02,-0.95,-0.13,0.13,1.33,0.00,354.95,0,2,1
10.67,-0.19,0.74,-0.03,0.45,-0.04,0.00,0.00,0,2,1
10.90,-0.64,0.16,-0.04,-0.02,0.09,0.00,0.00,0,2,1
9.39,-0.64,0.97,-0.12,0.03,0.01,0.00,0.00,0,2,1
9.71,-0.35,0.64,-0.11,-0.01,0.03,0.00,0.00,0,2,1
10.24,-0.56,0.56,-0.00,0.09,0.00,0.00,0.00,0,2,1
9.96,-0.35,1.47,-0.00,0.00,-0.01,0.00,419.85,0,2,1
9.92,-0.17,0.99,-0.03,0.03,0.12,313.92,450.66,0,2,1
11.12,-0.39,0.84,0.01,-0.15,-0.07,337.66,418.45,0,2,1
13.17,0.05,-0.20,-0.08,-0.66,-0.92,619.44,1117.95,0,2,1
13.51,1.00,-0.94,-0.05,-0.35,-1.88,1167.28,1629.09,1,2,1
0.88,3.26,0.86,-1.70,-0.37,-3.95,1053.44,1375.02,0,3,1
-3.66,3.33,3.92,-1.38,-0.15,-3.28,1211.26,1475.60,1,3,1
-2.42,9.17,4.10,-0.44,-0.51,-0.47,796.82,955.20,0,4,1
-4.18,8.65,3.93,0.05,0.21,0.89,600.87,701.36,0,4,1
-3.81,8.06,4.66,0.48,1.38,2.22,435.73,513.80,0,4,1
-1.50,6.56,2.66,0.96,0.57,3.67,427.39,520.86,0,4,1
6.15,6.05,-0.10,0.90,0.78,3.94,505.77,636.57,0,4,1
10.40,3.35,-1.02,0.58,-0.09,3.59,737.36,1028.51,0,4,1
12.05,1.16,-0.75,0.21,-0.01,2.61,535.69,628.32,0,4,1
12.21,-0.13,-0.79,0.07,-0.52,1.77,394.09,436.05,0,4,1
12.52,-0.63,-0.60,-0.11,0.09,0.93,303.73,339.15,0,4,1
11.90,-0.73,1.04,-0.04,0.56,-0.21,0.00,0.00,0,4,1
