ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
11.88,2.05,-1.18,-0.13,0.55,2.64,799.58,962.95,0,5,1
10.99,0.71,0.37,-0.27,0.18,1.81,675.48,807.65,0,5,1
12.38,-0.31,-0.81,-0.04,-0.04,1.28,480.63,564.11,0,5,1
12.75,-0.88,-0.05,-0.23,0.19,0.31,512.15,622.67,0,5,1
9.55,-0.18,-0.15,0.07,0.0,0.0,374.01,441.41,0,5,1
9.69,-0.58,0.73,-0.08,0.26,-0.03,370.97,426.63,0,5,1
10.22,-0.22,0.0,-0.06,0.02,0.01,347.45,402.62,0,5,1
10.03,-0.26,0.28,-0.07,0.03,0.02,395.48,454.51,0,5,1
10.24,-0.38,0.28,-0.08,0.03,0.03,397.04,475.54,0,5,1
10.1,-0.35,0.27,-0.04,0.02,0.03,399.03,464.2,0,5,1
10.16,-0.39,0.47,-0.03,-0.0,-0.0,351.68,445.43,0,5,1
12.37,-0.35,0.84,-0.02,-0.21,-0.46,516.1,645.46,0,5,1
13.69,0.43,-0.86,0.01,-0.81,-1.65,571.86,777.84,0,5,1
11.36,1.77,-1.41,-0.5,-0.24,-2.55,816.21,1122.74,0,5,1
10.38,3.54,-1.83,-1.23,-0.33,-3.18,956.24,1243.28,0,5,1
5.47,5.06,-1.19,-1.52,-0.85,-3.28,1106.12,1390.69,0,5,1
3.83,6.13,1.52,-1.81,-0.26,-3.29,1014.33,1252.34,0,5,1
-0.54,7.64,3.03,-0.95,-0.06,-2.27,1231.6,1522.26,1,5,1
-4.8,8.15,4.59,0.28,0.75,0.56,1169.11,1341.79,0,6,1
-3.96,7.38,2.7,1.04,0.9,2.44,1075.34,1227.83,0,6,1
1.77,8.12,0.6,1.31,0.05,3.18,929.69,1062.83,0,6,1
4.68,7.14,-0.89,0.89,0.3,3.14,933.95,1003.91,0,6,1
7.58,3.76,-0.68,0.27,0.72,3.27,593.43,670.21,0,6,1
11.46,1.85,-0.06,0.17,0.21,2.76,549.02,698.2,0,6,1
11.92,1.45,-1.59,0.21,-0.16,1.9,427.08,500.18,0,6,1
12.1,0.04,-1.0,-0.36,0.23,1.03,364.96,436.99,0,6,1
10.29,-0.61,0.82,-0.09,0.7,0.78,538.51,687.19,0,6,1
11.61,-1.49,0.27,0.05,-0.11,0.07,409.14,497.39,0,6,1
10.59,-0.86,-0.11,-0.11,-0.03,0.03,366.76,449.44,0,6,1
10.14,-0.74,0.33,-0.03,0.01,-0.0,457.27,631.29,0,6,1
10.24,-0.94,0.27,-0.08,0.05,-0.02,370.22,427.4,0,6,1
10.24,-0.9,0.34,-0.05,-0.03,0.0,374.88,446.82,0,6,1
9.98,-0.55,0.24,-0.05,0.05,0.0,333.06,395.18,0,6,1
