ax,ay,az,gx,gy,gz,mav,rms
0.7,-0.85,9.45,0.23,0.33,-0.07,1316.25,1679.39
1.31,-0.1,8.9,0.31,0.46,0.07,1040.34,1309.09
0.6,0.85,8.75,0.43,0.5,0.23,1065.92,1321.14
-1.02,1.22,8.71,0.36,0.82,0.6,1069.11,1241.62
-1.32,1.68,8.66,0.06,0.99,0.92,1387.5,1606.32
-1.47,1.28,9.45,0.13,0.94,0.99,1504.79,1671.59
-1.93,1.41,9.38,0.4,1.05,0.67,1499.52,1641.69
-2.02,1.07,9.66,0.03,0.72,0.52,1321.72,1419.53
-0.53,1.18,8.56,-0.24,0.16,0.43,1021.13,1138.72
0.33,1.36,8.0,-0.42,-0.05,-0.09,802.7,868.04
-1.36,-0.82,9.29,-0.28,-0.03,-0.47,812.48,901.34
-2.96,1.02,7.57,-0.17,0.67,-0.53,790.41,866.06
-3.66,2.21,8.79,-0.55,-0.31,0.05,704.43,772.5
-3.0,-1.78,9.97,-0.13,0.13,0.2,767.99,861.2
-3.97,0.62,6.68,-0.17,0.35,0.27,1524.57,1817.38
-4.36,0.43,8.78,-0.68,-0.13,0.94,1598.49,1788.27
-2.36,0.52,11.97,0.2,-0.17,0.94,1023.31,1127.81
-2.33,1.21,11.86,1.55,0.09,0.32,823.42,914.36
-3.61,1.96,9.31,1.84,-1.13,1.04,686.24,757.51
-1.3,4.2,7.44,2.0,-0.82,0.78,577.05,649.43
0.69,5.76,5.97,2.09,-0.44,0.62,505.67,599.19
0.43,8.43,3.54,2.03,0.34,0.56,530.13,639.11
1.44,8.38,1.83,1.4,-0.15,0.27,524.35,613.73
1.83,8.69,1.76,1.68,0.29,0.27,491.26,568.62
3.07,8.88,1.14,2.0,0.16,-0.1,537.14,624.94
-0.49,8.77,-2.19,2.22,0.2,0.33,495.22,558.75
0.84,8.54,-4.65,1.17,0.4,1.3,390.39,448.39
2.49,7.61,-4.34,0.3,0.36,1.94,351.06,389.32
4.33,6.69,-4.64,0.05,0.8,2.45,295.64,332.44
6.74,3.67,-4.96,-0.1,0.98,2.6,1374.49,1903.3
8.09,1.71,-3.24,-0.1,1.08,2.36,1369.2,1710.4
11.82,0.05,-2.23,-0.37,0.9,1.49,1400.77,1625.05
11.24,-0.38,-1.04,-0.7,0.41,0.29,1063.94,1242.13
9.61,0.05,-1.15,-0.49,-0.02,-0.08,1064.8,1127.66
9.55,0.73,-0.91,-0.25,-0.03,0.14,754.04,814.78
10.37,0.39,-1.04,-0.14,0.04,0.14,1125.32,1456.36
10.52,0.41,-1.47,-0.1,-0.0,0.03,720.03,858.43
10.62,0.55,-1.28,-0.17,0.0,-0.11,692.76,751.88
12.39,0.92,-1.77,-0.28,-0.09,-0.5,715.88,955.7
12.11,1.25,-1.76,-0.54,-0.17,-1.34,968.71,1312.36
11.89,2.77,-3.16,-0.93,-0.25,-2.13,1207.37,1529.08
8.69,3.96,-2.4,-1.31,-0.33,-2.71,1056.06,1325.86
5.38,6.0,-0.48,-1.38,-0.94,-2.75,1092.38,1313.72
2.96,7.0,1.14,-1.34,-1.15,-2.58,1053.63,1262.78
1.78,9.02,0.87,-1.37,-0.61,-2.2,1191.6,1387.97
-1.87,7.2,3.97,-0.88,0.23,-1.89,1349.92,1556.12
-3.68,8.6,3.8,-0.29,-0.23,-0.6,1512.46,1654.36
-3.67,9.01,3.17,-0.07,-0.02,-0.02,1210.81,1377.08
-2.93,9.1,2.84,-0.06,-0.06,0.2,1017.18,1168.46
-2.71,9.26,2.83,0.09,-0.21,0.67,876.17,989.04
-3.03,8.41,3.68,0.56,-0.04,1.65,906.06,1100.68
-0.02,7.7,2.55,0.99,0.39,2.63,859.62,965.64
3.69,7.37,0.75,1.2,0.68,3.1,886.41,1093.87
7.79,5.37,-0.77,0.94,0.68,2.88,798.31,946.41
10.76,3.48,-1.13,0.84,0.11,2.3,637.87,738.84
10.35,1.78,-1.07,0.71,0.01,1.82,713.21,975.22
10.93,0.73,-2.04,0.59,0.2,1.36,596.4,668.82
11.56,0.54,-2.42,0.22,0.11,0.84,555.48,611.59
11.9,0.18,-1.59,-0.08,0.06,0.11,342.4,395.16
10.3,0.69,-1.12,-0.12,0.04,-0.31,288.83,336.55
9.48,0.88,-1.26,-0.06,-0.07,-0.03,348.63,460.31
10.05,0.79,-1.31,-0.08,0.08,0.12,319.99,417.0
10.33,0.54,-1.31,-0.1,0.15,-0.01,312.46,351.09
10.05,0.94,-1.48,-0.08,-0.02,-0.06,462.38,680.35
12.19,1.03,-2.18,-0.15,-0.05,-0.27,558.73,827.29
13.49,0.92,-2.49,-0.64,0.17,-1.53,661.27,1043.08
11.18,2.32,-1.37,-0.95,-0.66,-2.44,852.36,1164.34
9.25,3.9,-1.76,-1.07,-0.01,-3.09,1537.07,1863.08
4.36,5.42,-0.4,-1.0,-0.5,-3.06,969.09,1243.27
2.34,7.94,1.03,-0.91,-0.76,-2.5,904.11,1117.55
0.2,7.25,2.35,-1.08,0.02,-2.88,1300.86,1523.4
-4.04,8.03,2.51,-0.54,-0.21,-1.53,1210.12,1391.33
-4.58,9.1,2.6,-0.19,0.1,-0.38,1228.5,1397.84
-3.51,8.81,3.01,-0.1,-0.08,0.05,1016.7,1189.75
-2.26,8.99,2.52,-0.12,-0.16,0.1,943.1,1101.97
-2.28,8.73,2.67,-0.04,-0.07,0.15,979.4,1199.37
-3.62,8.89,2.86,0.44,0.46,0.79,1048.34,1318.14
-3.6,8.31,2.26,0.73,0.58,1.66,1052.1,1352.25
-1.82,8.33,0.99,1.02,0.4,2.61,1110.36,1382.87
2.71,7.74,-0.45,1.0,0.81,2.99,1191.37,1366.66
5.78,5.28,-1.16,0.64,0.09,3.32,1205.49,1375.4
9.22,3.24,-1.13,0.65,0.51,3.2,1194.54,1370.49
11.32,0.13,-1.4,0.72,0.35,2.65,856.13,995.98
12.02,-1.18,-1.79,0.58,0.1,1.88,869.22,973.43
13.06,-1.41,-2.21,0.14,0.03,0.61,608.4,691.02
10.94,-1.26,-1.25,-0.1,0.01,-0.14,548.16,693.57
9.31,-0.97,-0.76,-0.12,0.12,-0.06,481.94,551.6
10.02,-1.17,-0.98,-0.08,0.15,0.08,539.21,679.51
10.38,-1.26,-1.2,-0.1,0.07,-0.07,872.73,1184.18
10.18,-0.8,-1.34,-0.13,0.12,-0.06,909.77,1168.99
10.77,-0.99,-0.87,-0.07,-0.09,-0.03,734.19,899.52
13.58,-1.03,-1.96,-0.16,0.31,-0.73,1053.78,1327.56
13.03,-0.07,-1.97,-0.37,0.16,-2.06,1040.44,1306.58
10.35,1.63,-1.28,-0.91,-0.51,-2.82,1108.0,1334.46
7.21,3.17,-1.28,-1.24,-0.43,-3.07,1323.13,1568.1
5.4,6.04,-0.34,-1.04,-0.4,-2.87,1236.99,1430.65
1.5,7.59,0.92,-1.01,-0.71,-2.47,1398.76,1569.43
1.5,7.59,0.92,-1.01,-0.71,-2.47,1283.25,1435.48
-0.38,8.17,1.64,-1.0,-0.29,-2.1,1389.27,1532.11
-1.92,8.5,2.87,-0.5,-0.09,-1.19,1397.83,1558.39
-2.42,9.13,2.89,-0.14,-0.01,-0.27,1300.28,1452.82
-1.43,9.38,2.37,-0.09,-0.09,0.06,1244.19,1394.28
-1.86,9.17,2.45,0.03,-0.02,0.27,1211.35,1378.62
-3.31,8.41,2.92,0.45,0.65,0.86,1116.97,1326.29
-1.39,8.72,1.06,0.73,0.33,2.09,1270.89,1417.89
2.41,7.99,0.9,0.84,0.48,2.59,1375.54,1494.62
5.67,6.55,-1.02,1.19,0.3,2.8,1357.5,1500.26
8.19,5.15,-2.22,0.84,0.15,2.92,1276.42,1433.2
10.26,2.11,-1.58,0.7,0.32,2.3,964.8,1137.63
10.61,0.26,-1.88,0.6,0.41,1.93,989.58,1143.56
12.23,-0.86,-2.89,0.39,-0.12,1.48,969.32,1085.76
13.91,-1.1,-2.13,-0.05,0.04,0.33,598.99,655.41
9.92,-0.43,-0.89,-0.02,-0.08,-0.39,448.44,513.94
9.44,-0.35,-1.66,0.0,-0.01,0.04,342.52,418.84
