ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
10.08,1.52,-0.7,-0.12,0.08,-0.0,653.63,818.15,0,13,3
11.45,1.95,-1.34,-0.26,0.05,-0.82,747.58,1030.72,0,13,3
2.15,6.17,1.06,-1.18,-0.2,-2.49,1262.91,1617.91,1,13,3
-0.92,7.54,2.9,0.98,0.83,1.99,852.63,1057.52,0,14,3
8.17,5.21,-0.0,0.23,0.02,1.33,762.47,884.29,0,14,3
10.27,2.41,-1.02,0.1,0.13,0.42,677.36,904.09,0,14,3
11.08,1.8,-1.09,-0.25,-0.09,-0.2,718.4,963.29,0,14,3
7.43,5.76,0.54,-1.06,0.04,-2.22,1237.94,1542.74,1,14,3
-1.08,8.0,3.95,0.71,0.44,1.57,908.17,1078.03,0,15,3
8.07,6.42,0.87,0.49,0.15,1.25,707.05,927.12,0,15,3
10.22,3.03,-0.74,0.26,0.02,0.62,674.09,876.09,0,15,3
10.47,1.18,-0.24,-0.06,0.03,0.16,518.44,693.67,0,15,3
10.18,2.54,-0.2,-0.53,-0.17,-1.17,816.71,1206.72,0,15,3
2.45,6.83,1.97,-1.18,-0.17,-2.49,1421.9,1768.97,1,15,3
1.93,8.35,1.97,0.92,-0.03,2.27,846.22,948.9,0,16,3
9.08,4.72,-0.59,0.41,0.17,1.14,845.88,1038.35,0,16,3
11.04,1.17,-0.61,0.03,0.2,0.24,648.2,761.5,0,16,3
10.94,1.72,-0.97,-0.53,-0.09,-0.91,1151.92,1520.08,1,16,3
2.45,6.81,2.34,-1.04,-0.2,-2.85,1651.33,1902.59,1,16,3
6.44,6.52,-1.08,0.51,-0.07,2.34,1057.64,1207.25,0,17,3
11.46,-1.24,-2.54,0.14,0.03,1.1,1275.4,1510.11,1,17,3
9.62,-1.88,-2.98,-0.07,0.26,0.02,932.07,1117.62,0,18,3
12.38,-0.14,-2.82,-0.62,-0.38,-1.37,1078.42,1321.73,0,18,3
3.18,7.43,1.34,-1.45,-0.22,-2.34,1346.13,1558.43,1,18,3
5.93,7.15,-0.46,1.18,0.61,2.19,1240.32,1364.79,0,19,3
9.99,0.3,-2.18,0.29,0.24,0.98,1109.57,1327.72,0,19,3
9.79,-0.81,-1.61,-0.07,0.02,-0.11,871.36,1042.58,0,19,3
10.54,-0.51,-1.42,0.02,0.01,-0.15,1067.99,1282.99,0,19,3
8.75,4.95,-2.94,-1.25,-0.12,-2.22,1613.17,1791.0,1,19,3
3.82,6.84,0.89,1.02,0.37,2.57,1245.46,1391.01,0,20,3
11.08,0.4,-2.0,0.22,-0.09,1.15,1024.6,1254.31,0,20,3
10.41,-1.44,-1.8,-0.09,0.01,-0.04,764.32,905.2,0,20,3
10.24,-1.04,-1.47,-0.15,0.06,-0.36,833.05,1032.68,0,20,3
7.41,3.83,-0.51,-0.98,-0.23,-1.79,1388.73,1656.73,1,20,3
1.08,9.32,3.09,0.14,-0.1,0.72,1190.37,1346.8,0,21,3
9.47,5.37,-1.59,0.87,0.36,1.46,812.92,997.21,0,21,3
10.82,0.06,-1.61,0.22,0.06,0.21,800.17,956.4,0,21,3
10.34,-0.3,-1.27,-0.11,-0.0,0.05,637.83,714.54,0,21,3
10.08,-0.43,-1.09,-0.11,0.09,-0.07,590.59,729.48,0,21,3
10.13,-0.03,-1.4,-0.17,0.08,-0.04,517.88,669.8,0,21,3
10.26,0.54,-0.13,-0.53,0.24,-0.1,501.55,553.94,0,21,3
10.21,0.66,0.46,-0.05,0.09,-0.0,370.42,425.21,0,21,3
