ax,ay,az,gx,gy,gz,mav,rms
10.06,0.63,0.98,-0.08,0.11,0.0,0.0,0.0
9.75,0.43,1.58,-0.11,0.15,-0.02,0.0,0.0
9.5,0.73,1.46,-0.11,-0.19,0.05,0.0,449.74
10.81,0.61,1.28,-0.09,-0.13,-0.02,397.91,702.27
12.29,0.79,1.41,-0.18,-0.41,-0.84,431.76,625.35
12.57,1.82,0.06,-0.36,0.54,-1.71,590.17,901.9
10.56,2.83,0.08,-0.65,-0.32,-2.35,649.07,923.97
8.85,3.94,0.88,-0.92,-0.53,-2.67,775.54,1062.14
4.8,5.62,2.04,-0.96,-0.77,-2.94,703.73,935.64
4.23,7.53,1.61,-1.24,-0.9,-3.08,902.94,1273.7
-1.33,3.59,4.78,-1.45,0.43,-3.37,1005.68,1351.84
-4.02,7.23,5.98,-0.47,0.51,-1.3,896.26,1162.56
-3.32,8.3,4.6,-0.07,0.31,-0.31,801.57,902.45
-3.25,8.3,4.72,0.14,0.43,0.29,670.07,829.54
-1.45,7.99,3.79,0.26,0.15,0.69,536.92,729.24
-3.8,5.26,4.21,0.81,0.46,3.34,395.5,443.8
