ax,ay,az,gx,gy,gz,mav,rms
10.15,2.03,1.16,-0.0,-0.14,1.73,0.0,0.0
9.94,1.93,0.08,0.25,-0.68,1.79,0.0,0.0
12.4,-0.02,-0.95,-0.13,0.13,1.33,0.0,354.95
10.67,-0.19,0.74,-0.03,0.45,-0.04,0.0,0.0
10.9,-0.64,0.16,-0.04,-0.02,0.09,0.0,0.0
9.39,-0.64,0.97,-0.12,0.03,0.01,0.0,0.0
9.71,-0.35,0.64,-0.11,-0.01,0.03,0.0,0.0
10.24,-0.56,0.56,-0.0,0.09,0.0,0.0,0.0
9.96,-0.35,1.47,-0.0,0.0,-0.01,0.0,419.85
9.92,-0.17,0.99,-0.03,0.03,0.12,313.92,450.66
11.12,-0.39,0.84,0.01,-0.15,-0.07,337.66,418.45
13.17,0.05,-0.2,-0.08,-0.66,-0.92,619.44,1117.95
13.51,1.0,-0.94,-0.05,-0.35,-1.88,1167.28,1629.09
0.88,3.26,0.86,-1.7,-0.37,-3.95,1053.44,1375.02
-3.66,3.33,3.92,-1.38,-0.15,-3.28,1211.26,1475.6
-2.42,9.17,4.1,-0.44,-0.51,-0.47,796.82,955.2
-4.18,8.65,3.93,0.05,0.21,0.89,600.87,701.36
-3.81,8.06,4.66,0.48,1.38,2.22,435.73,513.8
-1.5,6.56,2.66,0.96,0.57,3.67,427.39,520.86
