ax,ay,az,gx,gy,gz,mav,rms
2.52,8.8,3.01,0.25,0.55,0.8,659.8,860.24
2.12,8.92,3.11,0.09,-0.03,0.52,687.6,828.66
3.14,9.11,2.28,0.26,0.44,0.39,586.17,638.04
3.51,8.61,1.88,0.01,0.19,0.11,556.37,598.53
3.16,9.84,1.94,-0.35,0.71,-0.2,526.23,584.91
3.2,9.71,2.86,-0.2,0.42,-0.6,448.97,503.85
2.24,10.24,2.9,-0.15,0.22,-0.66,424.67,498.5
1.37,10.63,3.79,-0.39,0.22,-0.28,475.03,565.41
0.97,9.53,3.97,-0.1,0.13,-0.03,535.6,664.47
1.16,9.83,2.64,0.11,-0.03,0.18,592.12,707.85
1.99,10.44,3.02,0.14,-0.17,0.36,546.16,670.47
2.59,11.33,3.11,0.28,-0.31,0.5,495.98,552.87
2.39,10.84,3.15,0.26,-0.63,0.33,432.47,500.84
2.83,9.79,2.81,0.05,-0.26,-0.25,411.24,476.92
1.3,8.35,2.64,-0.44,-0.35,-0.9,620.08,801.72
0.33,6.49,3.33,-0.64,-1.07,-0.86,874.49,1196.72
1.02,7.57,2.39,-0.5,-0.01,-1.05,625.17,769.75
0.33,6.8,3.03,-0.4,-0.05,-0.92,531.34,596.7
-0.82,8.2,3.15,-0.24,0.29,-0.57,491.52,635.13
-1.07,8.19,3.77,-0.09,0.39,-0.24,531.19,664.55
-1.63,8.52,3.85,-0.1,0.06,-0.04,618.15,779.1
-1.53,8.33,3.78,-0.05,-0.0,0.15,575.68,688.4
-1.45,7.56,3.69,0.04,0.19,0.32,690.92,897.32
-1.03,7.56,3.62,0.28,0.12,0.83,762.05,956.84
0.02,8.07,2.81,0.35,0.13,1.28,778.11,962.19
