ax,ay,az,gx,gy,gz,mav,rms
9.66,-0.19,-3.73,-0.08,0.05,-0.02,0.64,0.65
9.63,-0.12,-3.82,-0.04,0.02,0.05,2.27,9.66
9.67,-0.21,-3.92,-0.03,0.03,0.06,1.45,3.32
9.7,-0.2,-3.89,-0.05,0.03,0.05,1.64,6.66
9.7,-0.25,-3.71,-0.06,0.06,0.07,0.63,0.64
9.63,-0.44,-3.77,-0.02,0.03,0.08,0.95,3.45
9.64,-0.34,-3.71,-0.09,0.07,0.01,5.46,19.86
9.68,-0.23,-3.73,-0.1,0.08,0.01,1.44,1.65
9.56,-0.31,-3.55,-0.07,0.03,0.02,4.26,14.32
9.67,-0.24,-3.67,-0.07,0.04,0.02,2.62,5.99
9.73,-0.31,-3.74,-0.07,0.05,0.02,2.03,3.72
9.64,-0.18,-3.71,-0.04,0.01,0.04,4.71,27.39
9.7,-0.41,-3.86,-0.06,0.02,0.03,32.95,76.37
9.63,-0.43,-3.7,-0.1,0.07,0.02,57.83,128.06
10.07,-0.45,-3.83,-0.12,0.19,0.0,122.49,194.96
10.65,-0.38,-4.03,-0.13,0.1,-0.16,235.33,341.5
10.47,0.38,-2.45,0.11,0.82,-0.86,384.16,511.27
10.39,0.85,-2.86,0.17,0.1,-1.0,311.78,401.46
9.62,2.14,-3.9,-0.08,-0.29,-0.95,312.64,380.41
9.61,2.75,-3.78,-0.3,0.18,-0.96,360.19,471.05
9.11,4.19,-3.0,-0.44,0.14,-1.04,456.79,665.28
8.71,5.31,-2.57,-0.62,-0.05,-1.04,418.86,528.87
7.83,5.91,-2.01,-0.64,0.18,-1.07,424.06,514.32
6.59,6.06,-1.61,-0.59,0.23,-1.02,408.83,508.36
6.55,7.14,-1.19,-0.51,-0.01,-1.01,384.41,506.6
5.69,7.65,-0.86,-0.52,0.08,-1.12,528.81,754.03
5.03,8.2,-0.77,-0.46,0.14,-1.12,385.7,442.98
3.59,8.42,-0.25,-0.37,0.15,-1.06,333.08,401.71
2.51,9.37,-0.31,-0.32,0.12,-0.96,319.71,379.99
1.61,9.55,-0.08,-0.41,0.15,-0.91,334.25,458.07
0.41,9.55,0.96,-0.58,-0.11,-0.91,336.77,438.83
-0.41,9.16,0.88,-0.54,-0.25,-0.91,327.52,432.74
-1.58,9.03,1.4,-0.46,0.19,-0.81,301.94,398.98
-2.44,9.03,2.29,-0.36,0.29,-0.7,290.15,349.07
-3.33,8.77,2.68,-0.27,-0.12,-0.5,257.27,320.69
-3.5,8.51,2.4,-0.15,-0.1,-0.21,255.96,323.96
-3.6,8.58,2.72,-0.04,0.16,-0.05,264.15,380.06
-3.63,8.68,2.75,-0.01,0.17,0.09,193.97,219.65
-3.67,8.75,2.64,-0.01,0.18,0.14,193.97,219.65
-2.96,8.62,2.47,0.11,0.06,0.55,163.68,214.17
-2.49,8.82,2.01,0.23,0.13,0.79,153.87,211.73
-1.63,8.81,1.82,0.2,0.06,0.89,197.91,314.87
-0.74,9.02,1.39,0.2,0.01,0.94,184.91,259.69
0.26,9.28,1.07,0.29,-0.03,0.99,234.99,306.14
0.92,9.05,1.14,0.26,-0.05,1.05,283.59,379.71
2.68,9.15,0.51,0.46,-0.24,1.23,251.67,318.46
3.56,8.77,0.25,0.43,-0.04,1.18,272.99,366.15
4.72,8.6,-0.31,0.42,-0.13,1.09,336.71,481.37
5.37,8.33,-0.93,0.53,-0.37,1.01,396.21,528.27
6.05,6.88,-2.1,0.5,-0.15,0.96,312.42,401.84
6.44,6.36,-2.37,0.53,-0.16,1.1,312.42,401.84
7.41,5.71,-3.11,0.54,-0.29,1.25,305.42,384.72
8.62,4.02,-3.99,0.47,-0.05,1.25,279.05,395.17
9.77,3.08,-4.4,0.37,-0.22,1.05,342.72,456.91
9.6,2.31,-4.5,0.18,-0.43,0.61,342.72,456.91
8.83,1.91,-4.68,0.36,-0.18,0.57,271.21,345.15
9.01,1.14,-4.87,0.4,0.26,0.72,252.92,317.3
9.63,0.4,-4.93,0.23,0.11,0.67,196.08,230.33
9.62,0.02,-5.03,0.13,-0.06,0.57,196.08,230.33
10.86,-0.75,-5.16,0.05,0.22,0.38,155.86,193.17
9.28,-1.16,-4.75,-0.07,0.04,0.07,155.86,193.17
9.39,-1.01,-4.99,-0.08,0.06,-0.01,98.67,116.14
9.38,-0.8,-5.29,-0.12,-0.02,-0.04,98.67,116.14
9.08,-0.74,-4.86,-0.11,0.1,0.01,52.45,57.23
9.26,-0.82,-4.99,-0.11,0.08,0.01,37.98,41.57
9.21,-0.87,-4.81,-0.18,0.13,-0.06,30.24,38.56
