ax,ay,az,gx,gy,gz,mav,rms
9.81,-0.11,-3.43,-0.07,0.06,0.01,4.9,12.69
9.76,-0.19,-3.38,-0.06,0.09,0.05,6.57,20.69
9.77,-0.1,-3.32,-0.05,0.09,0.04,4.75,10.57
9.82,-0.15,-3.44,-0.08,0.09,0.05,1.99,2.02
10.05,-0.29,-3.57,-0.06,0.03,0.08,5.18,15.17
9.86,-0.35,-3.37,-0.06,0.04,0.07,5.85,14.57
9.84,-0.4,-3.53,-0.04,0.01,0.07,5.85,14.57
9.72,-0.31,-3.34,-0.07,0.02,-0.01,10.33,28.4
9.85,-0.39,-3.59,-0.07,0.02,-0.01,45.7,115.5
10.13,-0.31,-3.61,-0.03,0.09,-0.13,164.75,265.44
10.03,-0.28,-3.32,0.01,0.08,-0.2,164.75,265.44
10.33,0.13,-3.83,0.02,0.19,-0.19,263.13,398.48
10.51,0.45,-2.73,-0.26,0.62,-0.67,330.06,479.74
10.39,2.42,-2.85,-0.43,0.24,-1.3,514.62,670.21
9.6,2.95,-2.26,-0.51,0.39,-1.4,432.27,546.25
9.0,3.75,-2.0,-0.49,0.38,-1.47,376.72,468.37
8.6,4.28,-1.41,-0.46,0.2,-1.42,376.72,468.37
6.59,6.93,-0.76,-0.35,0.28,-1.29,453.23,572.1
6.18,7.33,-0.81,-0.31,0.3,-1.3,422.36,483.83
4.97,7.81,-0.31,-0.4,0.02,-1.48,508.48,715.62
3.65,7.87,-0.3,-0.53,0.24,-1.57,478.86,556.25
1.95,8.25,0.77,-0.48,0.24,-1.44,463.87,558.34
-0.4,9.13,0.96,-0.55,0.35,-1.18,425.12,532.35
-0.35,9.52,1.56,-0.52,0.2,-1.15,425.12,532.35
-1.59,9.35,1.96,-0.51,-0.25,-1.2,351.09,404.11
-3.93,8.18,2.32,-0.24,-0.04,-0.74,393.72,502.63
-4.37,8.16,2.71,-0.11,0.05,-0.54,338.03,441.81
-4.56,8.14,2.76,-0.15,0.03,-0.44,338.03,441.81
-4.7,7.82,2.64,-0.13,-0.27,-0.15,281.51,340.07
-4.42,7.75,2.57,-0.09,0.14,-0.09,283.96,341.47
-4.52,7.78,3.02,-0.07,0.24,-0.05,283.96,341.47
-4.67,7.74,2.77,-0.07,-0.0,0.01,199.77,229.96
-5.1,7.72,2.66,-0.05,0.1,0.2,183.48,220.78
-4.97,7.85,3.0,-0.02,0.07,0.26,264.42,369.93
-4.54,8.12,2.68,0.06,0.22,0.57,181.83,238.21
-4.31,8.25,2.76,0.12,0.25,0.66,174.87,214.66
-4.05,8.33,2.43,0.15,0.16,0.81,174.87,214.66
-2.78,8.81,2.17,0.16,-0.16,1.03,166.79,205.75
-1.91,8.89,1.9,0.23,-0.08,1.19,182.02,238.99
-0.82,9.19,1.61,0.29,-0.17,1.38,182.02,238.99
0.23,9.06,1.59,0.42,-0.26,1.49,283.09,425.59
3.67,8.95,-0.24,0.41,-0.35,1.31,483.02,783.58
3.8,8.58,0.11,0.36,-0.29,1.28,483.02,783.58
4.97,8.24,-0.37,0.37,-0.25,1.21,408.17,489.83
6.37,7.45,-1.04,0.48,-0.26,1.21,494.37,742.41
7.39,6.41,-1.76,0.37,-0.21,1.06,507.71,658.66
8.23,6.06,-2.67,0.37,-0.29,0.94,431.17,610.05
8.6,4.63,-3.65,0.41,-0.13,0.94,507.96,645.56
8.83,4.38,-3.74,0.39,-0.07,0.92,409.84,506.54
8.99,3.73,-3.85,0.29,0.07,0.85,334.97,404.7
9.11,2.73,-3.76,0.22,-0.16,0.77,315.35,400.7
9.52,2.07,-4.21,0.22,-0.28,0.71,405.74,557.26
9.89,1.18,-4.53,0.09,0.18,0.45,356.85,418.21
9.44,0.73,-4.14,0.09,-0.01,0.3,264.05,291.94
9.1,0.43,-4.18,0.14,-0.0,0.41,201.56,232.89
9.79,0.28,-4.37,0.12,-0.04,0.45,201.56,232.89
10.08,-0.24,-4.83,0.01,0.06,0.2,269.67,417.93
9.84,-0.23,-4.8,-0.06,0.05,0.15,167.08,199.31
9.54,-0.3,-4.02,-0.09,0.16,0.14,181.6,262.39
9.82,-0.41,-4.31,-0.1,0.09,0.11,140.76,175.14
9.55,-0.53,-4.38,-0.07,0.06,0.11,104.52,109.06
9.61,-0.6,-4.51,-0.08,0.02,0.0,77.32,83.47
