ax,ay,az,gx,gy,gz,mav,rms
9.64,0.51,2.32,-0.08,0.04,0.04,81.72,99.15
9.91,0.46,2.2,-0.1,0.01,0.06,81.72,99.15
9.66,0.34,2.04,-0.05,0.06,0.01,74.46,92.11
9.67,0.35,2.28,-0.06,0.06,0.01,94.65,134.74
9.71,0.34,2.48,-0.08,0.06,0.01,89.87,129.76
9.65,0.35,2.36,-0.06,0.07,0.0,90.75,131.42
9.73,0.3,2.43,-0.09,0.05,0.01,84.15,107.25
9.41,0.34,2.6,-0.05,0.09,0.01,91.9,115.43
9.64,0.26,2.55,-0.08,0.04,0.02,105.25,141.38
9.54,0.53,2.3,-0.05,0.08,-0.02,80.3,119.8
9.58,0.53,2.42,-0.09,0.06,-0.02,83.36,114.98
10.16,0.34,2.49,-0.1,-0.01,-0.09,133.39,200.73
11.09,1.2,2.55,0.15,-0.24,-0.82,301.85,435.38
10.83,2.39,1.33,0.16,-0.14,-1.3,301.73,431.48
9.48,3.88,0.91,-0.08,0.29,-1.53,333.56,435.07
8.26,4.07,1.64,-0.11,0.37,-1.55,336.86,443.79
6.93,6.23,2.2,-0.12,0.06,-1.5,325.73,428.46
6.15,7.42,1.72,-0.19,0.39,-1.36,370.09,448.82
5.21,7.57,2.28,0.01,0.3,-1.31,387.81,515.35
3.15,8.71,1.76,0.02,0.32,-1.24,362.82,436.77
1.85,9.16,1.05,0.12,0.38,-1.18,367.81,444.28
0.5,8.81,2.4,0.06,0.31,-1.06,376.87,456.28
-0.94,8.68,1.97,0.14,0.23,-1.0,401.64,513.85
-0.72,8.76,1.47,0.16,0.09,-0.84,342.04,431.49
-1.48,8.36,1.82,0.18,0.06,-0.85,264.38,293.02
-3.56,8.42,1.47,0.11,0.2,-0.81,298.0,342.62
-3.87,8.33,0.97,0.17,0.05,-0.72,200.22,228.53
-4.59,8.35,0.83,0.15,0.24,-0.36,215.71,284.15
-5.12,8.23,0.53,0.12,0.07,-0.28,215.71,284.15
-5.12,8.08,0.38,0.06,-0.12,-0.21,200.11,269.7
-5.1,8.03,0.37,0.0,-0.13,-0.05,182.96,218.91
-4.89,8.41,0.26,-0.17,0.2,0.05,169.09,192.99
-4.44,8.15,0.19,-0.1,0.02,0.07,177.82,258.31
-5.05,8.02,0.49,-0.05,0.04,0.16,151.56,184.79
-5.3,8.61,0.25,-0.11,0.08,0.11,138.81,173.67
-4.56,8.11,0.57,-0.1,0.03,0.24,138.81,173.67
-4.32,8.2,0.46,-0.18,-0.04,0.42,137.43,179.62
-3.94,8.6,0.82,-0.21,0.16,0.71,135.91,188.06
-3.28,8.82,1.04,-0.21,-0.03,0.78,191.45,299.94
-2.43,9.37,1.36,-0.24,-0.04,0.88,185.31,282.54
-2.23,8.99,0.63,-0.25,-0.04,0.91,185.31,282.54
-0.07,9.1,2.0,-0.23,-0.24,1.05,321.53,465.98
1.0,9.24,1.78,-0.14,-0.23,1.08,281.2,412.13
1.38,9.22,1.45,-0.25,-0.01,1.08,331.62,458.81
2.16,8.96,2.02,-0.27,-0.06,1.09,331.62,458.81
4.12,8.21,2.93,-0.22,-0.14,1.0,288.67,345.63
4.37,7.94,2.53,-0.2,0.04,1.01,231.32,239.3
5.55,7.57,2.03,-0.14,0.06,1.14,140.27,141.72
6.64,6.94,2.69,-0.14,0.02,1.26,84.97,85.85
7.01,6.28,2.42,-0.15,0.12,1.3,51.47,52.01
7.92,4.85,3.18,-0.26,0.02,1.14,31.18,31.5
9.11,4.02,2.19,-0.11,-0.0,0.92,18.89,19.08
8.67,3.31,2.7,-0.04,-0.13,0.81,11.44,11.56
8.88,3.25,2.42,-0.02,-0.14,0.79,6.93,7.0
10.13,2.08,1.6,0.08,-0.05,0.66,4.2,4.24
9.98,1.62,1.3,-0.01,0.04,0.47,2.54,2.57
10.05,1.48,1.47,-0.01,0.02,0.45,123.63,233.65
10.35,0.7,2.58,-0.01,-0.15,0.37,242.84,336.51
10.1,0.85,1.93,-0.13,0.11,-0.04,197.16,263.3
9.37,0.88,2.35,-0.14,0.16,0.05,214.54,302.08
9.7,0.73,2.22,-0.13,-0.02,0.11,199.36,253.81
10.08,0.72,1.92,-0.1,0.03,0.01,234.32,342.0
