ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
1.90,9.64,1.40,-0.09,0.21,0.09,393.46,544.49,0,0,1
2.04,9.30,1.57,-0.12,0.20,0.15,312.42,392.48,0,0,1
2.06,9.44,1.44,-0.13,0.27,0.11,245.36,284.93,0,0,1
2.14,9.22,1.79,-0.10,0.29,0.14,199.23,220.99,0,0,1
2.47,9.12,2.05,-0.14,0.32,0.11,142.64,155.30,0,0,1
2.04,9.13,2.47,-0.19,0.31,0.12,118.33,128.19,0,0,1
2.57,8.87,2.69,-0.19,0.23,0.11,99.11,110.55,0,0,1
2.55,8.87,2.73,-0.23,0.10,0.06,89.30,108.48,0,0,1
2.61,8.89,2.95,-0.21,0.05,0.05,88.62,111.54,0,0,1
2.47,8.85,3.13,-0.16,0.08,0.03,79.05,91.42,0,0,1
2.29,8.45,2.95,-0.18,0.10,0.07,86.31,106.62,0,0,1
2.53,8.79,3.11,-0.09,0.12,-0.10,80.25,98.06,0,0,1
2.12,9.14,3.30,-0.11,0.03,0.03,87.05,107.38,0,0,1
2.45,8.75,3.45,-0.12,-0.06,0.11,76.18,97.71,0,0,1
2.34,8.56,2.94,-0.07,-0.11,0.03,78.09,94.82,0,0,1
2.18,8.90,3.07,0.03,0.04,-0.02,68.72,89.25,0,0,1
2.04,9.06,3.15,0.16,0.04,0.07,77.67,103.92,0,0,1
2.04,9.06,3.15,0.16,0.04,0.07,83.10,109.03,0,0,1
2.27,8.90,2.42,0.22,0.05,0.03,67.63,84.44,0,0,1
2.21,9.22,2.29,0.17,0.02,-0.07,61.68,69.52,0,0,1
2.08,9.51,2.18,0.16,-0.16,-0.05,59.21,78.43,0,0,1
4.07,12.67,1.07,0.30,-0.23,0.04,242.59,376.97,0,0,1
3.93,13.78,0.87,0.25,-0.28,0.05,260.21,368.23,0,0,1
2.25,11.21,0.69,-0.08,-0.18,-0.35,358.63,486.31,0,0,1
0.85,7.85,1.23,-0.45,-0.18,-0.94,566.85,739.37,0,0,1
1.22,6.19,1.36,-0.71,-0.67,-1.18,811.48,1090.19,0,0,1
1.13,6.92,1.53,-0.56,-0.57,-1.20,577.54,723.70,0,0,1
