ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
1.85,8.72,1.71,0.36,0.59,1.48,530.4,620.32,0,2,1
3.88,8.28,1.49,0.36,0.21,0.76,467.85,531.66,0,2,1
4.19,10.72,0.77,0.05,0.07,0.51,387.86,436.95,0,2,1
3.62,10.42,1.6,-0.25,-0.15,0.31,0.0,329.62,0,2,1
5.46,9.93,1.13,-0.42,0.15,0.09,333.8,434.35,0,2,1
6.34,10.29,0.91,-0.22,0.34,-0.91,414.8,545.26,0,2,1
1.05,10.52,2.9,-0.08,0.23,-0.2,692.36,868.93,0,2,1
2.38,9.51,2.42,-0.04,0.23,0.04,493.91,572.55,0,2,1
2.77,8.86,2.49,0.07,0.04,0.13,455.62,573.27,0,2,1
4.01,9.23,1.45,0.02,0.16,0.0,558.82,670.22,0,2,1
3.48,10.47,2.54,0.08,0.03,0.09,550.12,648.52,0,2,1
5.74,12.61,1.78,0.16,-0.06,0.04,521.8,600.45,0,2,1
2.76,11.26,2.29,0.11,-0.26,-0.09,466.89,539.52,0,2,1
1.13,10.73,1.02,0.05,-0.18,-0.42,548.15,662.6,0,2,1
1.47,7.55,1.79,-0.36,-0.34,-0.99,576.43,773.59,0,2,1
0.83,7.59,1.61,-0.27,-0.17,-1.46,669.47,929.05,0,2,1
-1.23,6.66,1.07,-0.41,-0.15,-1.16,687.1,990.2,0,2,1
0.62,7.08,1.79,-0.68,0.07,-1.28,877.9,1208.0,0,2,1
-3.21,8.24,3.09,-0.28,0.06,-0.09,782.81,1040.33,0,2,1
-1.55,6.48,3.02,0.11,0.15,1.28,572.54,704.36,0,2,1
-0.98,5.89,2.83,-0.05,0.03,1.61,580.6,796.93,0,2,1
1.33,6.35,3.67,0.33,0.68,1.54,637.65,802.9,0,2,1
1.34,8.85,2.83,0.36,0.66,1.04,447.97,529.4,0,2,1
1.46,9.06,2.83,0.22,0.35,0.57,443.19,549.68,0,2,1
2.1,10.84,2.6,0.32,-0.15,0.41,382.69,439.56,0,2,1
4.55,12.01,-0.69,-0.07,-0.31,0.25,347.49,407.09,0,2,1
4.65,10.8,3.04,-0.76,0.25,-0.28,491.87,602.99,0,2,1
2.53,10.73,2.44,0.06,-0.09,-0.69,665.16,859.33,0,2,1
2.33,10.25,2.27,-0.16,0.1,0.1,667.26,773.05,0,2,1
2.18,9.05,1.79,0.15,0.09,0.14,625.44,742.24,0,2,1
2.64,8.89,1.89,-0.01,0.14,0.2,578.77,692.6,0,2,1
2.98,9.24,1.77,0.02,0.1,0.11,567.65,657.85,0,2,1
4.58,11.29,1.76,0.22,-0.09,0.25,562.21,637.28,0,2,1
4.54,12.67,1.73,0.18,0.18,0.24,536.18,597.52,0,2,1
3.41,10.72,1.12,0.1,0.16,0.02,468.53,552.78,0,2,1
2.26,8.94,1.2,-0.23,0.15,-0.57,442.11,496.41,0,2,1
0.91,8.5,1.38,-0.58,-0.15,-0.92,432.06,581.31,0,2,1
3.06,8.16,1.64,-0.83,-0.53,-1.34,413.86,504.51,0,2,1
1.16,5.77,2.91,-0.63,-0.2,-1.71,646.29,833.47,0,2,1
-1.87,6.11,3.28,-0.23,0.8,-1.96,766.45,1102.28,0,2,1
-3.86,7.47,2.53,-0.14,-0.3,-0.17,674.27,892.57,0,2,1
-2.08,8.13,2.65,0.03,0.1,0.55,483.62,563.78,0,2,1
-1.79,6.17,3.43,0.03,-0.08,1.3,465.63,557.6,0,2,1
-1.0,6.4,3.54,0.45,-0.08,1.7,671.2,863.05,0,2,1
0.1,7.21,2.26,0.8,0.61,1.73,1180.29,1478.43,1,2,1
2.95,9.79,-0.21,-0.55,0.04,-0.16,694.51,759.02,0,3,1
2.64,10.52,2.07,-0.69,-0.5,-0.07,525.01,568.88,0,3,1
5.29,11.62,1.3,-0.35,-0.01,-0.06,375.27,427.58,0,3,1
