ax,ay,az,gx,gy,gz,mav,rms
11.37,3.23,-1.19,-0.28,0.18,1.11,486.85,568.69
9.16,3.35,2.29,-0.59,0.78,0.62,607.87,714.88
10.03,2.5,3.06,-0.22,0.17,0.6,558.17,729.13
9.92,2.01,1.96,0.03,0.11,0.04,474.43,584.73
9.18,2.44,1.79,-0.06,0.0,-0.06,444.95,531.07
9.45,2.19,2.04,-0.0,-0.08,-0.01,422.5,497.82
9.37,2.52,1.75,-0.02,-0.0,0.01,341.88,402.03
10.18,2.4,1.87,-0.04,0.03,-0.06,332.67,418.06
12.91,2.66,1.95,0.01,-0.15,-0.81,568.49,835.17
11.23,3.24,2.19,0.06,0.86,-1.97,708.43,1028.54
11.78,4.7,2.47,0.3,-0.23,-2.81,683.45,898.55
4.9,4.54,1.87,0.46,-0.01,-3.66,941.22,1291.93
0.06,5.57,1.16,0.33,-0.68,-3.51,946.05,1227.66
-2.48,7.63,0.8,-0.1,-0.49,-2.93,1260.08,1587.84
-6.67,6.72,2.52,-0.08,-1.03,-2.59,1071.69,1258.93
-8.07,7.35,1.08,-0.03,0.12,-0.59,960.24,1172.21
-5.94,7.88,1.47,-0.04,0.1,-0.1,957.03,1134.86
-6.74,7.45,1.04,-0.15,-0.18,0.24,724.71,812.97
-6.92,7.74,1.17,-0.09,0.72,0.6,601.87,709.09
-6.95,7.41,1.19,-0.41,0.36,1.94,425.2,488.9
-4.31,7.21,1.44,-0.23,0.1,3.08,461.78,595.81
