ax,ay,az,gx,gy,gz,mav,rms
7.76,-4.19,-5.58,-0.03,-0.01,0.05,68.9,83.79
7.75,-4.38,-5.65,-0.09,0.04,0.01,76.22,103.87
7.76,-4.24,-5.64,-0.1,0.09,-0.01,53.99,67.23
7.79,-4.21,-5.6,-0.07,0.07,0.02,37.94,43.89
7.84,-4.27,-5.56,-0.07,0.08,-0.0,47.88,79.04
7.86,-4.21,-5.48,-0.06,0.04,0.0,37.66,58.94
7.84,-4.11,-5.54,-0.05,0.04,0.01,53.27,82.79
7.89,-4.21,-5.5,-0.06,0.03,0.01,53.27,82.79
8.27,-4.12,-5.82,-0.26,-0.15,-0.12,216.76,347.25
8.62,-3.93,-6.41,-0.41,-0.55,-0.32,400.98,571.62
8.26,-4.06,-5.69,-0.37,-0.8,-0.46,400.98,571.62
7.16,-3.01,-6.41,-0.53,0.2,-0.5,354.29,462.67
7.52,-2.19,-6.29,-0.57,-0.28,-0.39,359.33,472.34
7.76,-1.36,-7.29,-0.38,-0.36,-0.24,370.25,509.43
7.53,-0.85,-7.32,-0.24,0.06,-0.25,299.52,360.55
7.92,-0.72,-7.64,-0.27,-0.03,-0.29,299.52,360.55
7.87,-0.6,-7.31,-0.29,-0.04,-0.36,440.43,598.39
7.74,-0.12,-7.64,-0.36,-0.08,-0.45,440.43,598.39
7.36,1.24,-7.28,-0.54,-0.07,-0.27,298.25,360.39
7.07,1.43,-7.16,-0.51,0.05,-0.18,369.75,466.34
7.22,1.97,-7.61,-0.51,0.06,-0.18,369.75,466.34
7.31,2.26,-7.46,-0.53,-0.07,-0.17,401.98,516.64
7.25,2.88,-7.18,-0.63,0.02,-0.23,484.49,617.16
7.29,3.05,-7.5,-0.67,0.09,-0.24,484.49,617.16
6.9,4.32,-7.07,-0.61,0.09,-0.34,535.29,647.1
6.75,4.46,-6.32,-0.59,0.18,-0.35,494.86,612.16
6.61,5.59,-6.27,-0.64,0.18,-0.37,428.0,509.97
6.66,5.83,-5.74,-0.69,0.02,-0.33,486.54,599.58
5.85,5.99,-5.31,-0.83,-0.15,-0.35,514.27,631.61
5.72,6.89,-4.96,-0.77,0.14,-0.31,532.38,628.5
5.72,7.1,-4.04,-0.77,0.11,-0.39,473.03,571.25
4.87,7.25,-3.29,-0.69,-0.0,-0.39,545.58,648.94
4.57,7.94,-3.17,-0.62,0.14,-0.38,441.19,528.03
4.54,8.91,-2.88,-0.59,0.05,-0.33,419.33,503.06
