ax,ay,az,gx,gy,gz,mav,rms
8.17,-5.85,0.37,-0.03,0.04,0.01,68.15,87.37
8.39,-5.91,0.58,-0.07,0.06,0.01,52.57,73.75
8.21,-5.77,0.55,-0.09,0.09,0.01,65.07,98.42
8.2,-5.96,0.58,-0.19,-0.02,-0.02,73.44,117.52
8.2,-5.68,0.1,-0.06,-0.0,0.02,80.98,123.47
8.35,-5.87,0.16,-0.07,0.15,0.01,70.08,92.49
8.32,-5.96,0.42,-0.11,0.11,-0.01,89.26,132.3
7.95,-5.76,0.51,-0.12,0.15,-0.05,72.26,94.56
8.06,-5.67,0.45,-0.09,-0.02,0.02,93.56,160.36
8.38,-5.84,0.38,-0.05,-0.0,0.03,101.96,131.3
8.25,-5.71,0.39,-0.09,0.09,-0.02,104.11,156.91
8.39,-5.77,0.63,-0.09,0.1,-0.01,82.81,99.85
8.44,-5.78,0.63,-0.14,0.1,-0.04,90.46,120.85
8.53,-5.5,0.48,-0.07,0.09,-0.01,116.53,162.33
8.26,-5.62,0.44,-0.1,0.02,-0.01,98.11,126.95
8.71,-5.75,0.33,-0.09,0.12,0.1,84.25,107.49
8.92,-5.78,0.62,-0.13,0.13,0.03,106.93,154.07
8.2,-5.66,0.67,-0.18,0.16,-0.08,168.38,266.46
8.81,-5.67,1.02,-0.21,0.21,-0.17,205.52,317.37
9.79,-5.62,0.67,-0.23,0.06,-0.43,205.52,277.97
9.82,-4.85,1.06,0.02,0.12,-0.74,213.75,296.09
8.45,-3.77,1.45,0.2,0.07,-0.68,356.42,512.43
9.07,-3.24,1.13,0.19,-0.35,-0.56,271.86,331.62
10.08,-3.03,0.87,0.09,-0.16,-0.47,444.37,600.51
10.06,-2.45,0.79,0.01,-0.17,-0.65,293.69,338.07
10.12,-1.69,0.79,-0.03,0.03,-0.77,340.72,422.71
10.32,-0.84,0.91,0.03,-0.08,-0.9,572.18,690.48
9.87,0.27,0.58,0.05,0.0,-0.93,357.82,433.52
9.83,1.27,0.76,0.03,-0.16,-0.85,416.02,506.4
10.37,1.84,-0.18,0.01,-0.04,-0.92,462.03,556.78
9.7,3.15,0.22,0.06,-0.01,-0.98,513.97,602.4
8.58,3.67,0.3,0.07,-0.07,-0.86,427.31,511.17
8.44,4.77,0.14,0.04,-0.04,-0.82,378.66,446.21
8.1,5.17,0.02,0.04,-0.22,-0.81,424.12,500.7
8.35,6.19,-0.63,0.05,-0.23,-0.87,451.44,583.25
7.21,7.05,-1.1,-0.01,-0.27,-0.99,442.34,508.27
6.6,7.24,-1.2,-0.08,-0.39,-0.92,369.1,443.42
5.31,8.14,-1.31,-0.2,-0.25,-0.78,359.48,437.65
4.73,8.53,-1.19,-0.23,0.02,-0.77,359.48,437.65
4.14,8.66,-1.0,-0.21,-0.02,-0.66,395.8,498.39
3.43,8.83,-0.44,0.01,-0.05,-0.59,400.86,524.02
2.85,9.41,-0.94,0.09,-0.15,-0.5,400.86,524.02
2.53,9.25,-1.49,0.03,-0.26,-0.4,411.46,515.05
2.32,9.5,-2.15,0.03,-0.17,-0.4,342.83,443.14
1.54,9.53,-1.75,-0.09,-0.09,-0.36,320.36,397.83
1.46,9.6,-1.62,-0.04,-0.04,-0.33,402.28,511.69
0.96,9.51,-1.6,-0.08,-0.0,-0.26,318.76,434.19
0.74,9.63,-1.45,-0.04,-0.05,-0.12,355.16,460.56
0.62,9.63,-1.55,-0.04,0.05,0.11,350.47,483.45
0.59,9.76,-2.1,-0.06,0.07,0.18,350.47,483.45
1.19,9.67,-1.97,-0.07,0.18,0.45,317.57,424.25
2.04,9.5,-1.79,-0.1,0.19,0.6,441.91,567.35
2.68,9.37,-1.73,-0.15,0.16,0.7,298.22,382.61
3.23,8.98,-1.62,-0.19,0.28,0.79,351.27,470.56
3.64,9.05,-1.11,-0.18,0.27,0.83,351.27,470.56
4.88,8.98,-1.06,-0.17,0.16,0.69,406.67,530.57
5.92,8.16,-1.28,-0.09,0.14,0.58,445.33,566.6
6.13,7.95,-1.6,-0.16,0.13,0.58,402.66,516.27
6.9,7.75,-1.24,-0.05,0.28,0.58,456.43,556.26
6.92,6.96,-0.64,-0.05,0.15,0.67,452.04,584.18
7.33,7.04,-0.53,0.02,0.17,0.59,523.13,631.26
7.8,6.31,-0.81,-0.02,0.14,0.55,455.14,531.52
7.73,5.8,-0.68,-0.07,0.14,0.71,424.43,538.71
8.74,5.53,-0.67,-0.13,0.18,0.74,389.43,501.08
8.74,4.81,-0.14,-0.15,0.22,0.77,389.43,501.08
9.87,3.9,-0.06,-0.17,0.09,0.67,520.14,635.03
9.84,3.16,0.15,-0.13,0.18,0.64,388.35,479.0
9.77,2.53,0.64,-0.08,0.12,0.6,306.23,358.71
9.9,1.85,0.56,-0.08,0.01,0.56,406.22,500.41
9.88,1.81,-0.31,-0.08,0.27,0.51,380.81,479.83
9.9,1.06,0.3,-0.05,-0.01,0.54,400.39,488.05
10.22,1.05,0.12,-0.09,0.01,0.55,420.86,515.4
10.4,0.05,0.6,-0.06,0.07,0.52,385.06,484.44
10.04,-0.18,0.21,-0.12,0.22,0.48,363.73,467.8
9.84,-0.89,0.78,-0.12,0.12,0.5,363.93,454.36
10.58,-1.34,0.13,-0.02,0.04,0.39,372.64,477.66
9.74,-1.6,0.71,-0.09,0.19,0.36,341.72,424.98
9.89,-1.85,0.65,-0.13,0.02,0.38,314.93,414.64
10.2,-1.98,0.99,-0.09,0.09,0.36,285.48,347.81
9.53,-2.54,0.64,-0.09,0.16,0.33,296.08,379.83
9.92,-2.86,0.77,-0.13,0.12,0.32,252.71,302.3
9.66,-3.22,0.68,-0.11,0.08,0.25,229.12,258.42
9.26,-3.29,0.87,-0.1,0.08,0.24,281.11,393.41
9.56,-3.55,0.87,-0.08,0.14,0.17,238.77,278.92
9.54,-3.38,0.81,-0.09,0.11,0.11,215.02,251.42
